Timestep[1] 	 x_error[2] 	 command_torques[4] 	 joint_gravity[4] 	 effective_joint_gravity[4] 	 alpha[1]
0.0360548	6.57457e-06 0.000276074	65.2941 34.3235 14.4909 4.02574	65.6318 34.5094 14.4221 4.01814	20.4108 12.8176 10.2125 2.60684	-0.727666	
0.0370557	6.74206e-06 0.000280961	65.2606 34.3053  14.486 4.02421	65.6318 34.5093  14.422 4.01816	20.4108 12.8176 10.2126 2.60689	-0.727666	
0.038055	6.90829e-06 0.000285731	65.2275 34.2874 14.4813 4.02271	65.6318 34.5091  14.422 4.01819	65.6318 34.5091  14.422 4.01819	-0.727666	
0.0390544	7.07324e-06 0.000290386	 65.195 34.2697 14.4766 4.02123	65.6318 34.5089 14.4219 4.01821	20.4109 12.8177 10.2128 2.60705	-0.727666	
0.0400574	7.23688e-06 0.000294928	 65.163 34.2523  14.472 4.01977	65.6318 34.5088 14.4219 4.01823	20.4109 12.8177 10.2128  2.6071	-0.727666	
0.0410565	7.39918e-06 0.000299357	65.1314 34.2352 14.4674 4.01833	65.6318 34.5088 14.4219 4.01823	65.6318 34.5087 14.4219 4.01825	-0.727666	
0.042058	7.56011e-06 0.000303677	65.1004 34.2183 14.4629 4.01692	65.6318 34.5085 14.4218 4.01827	20.4109 12.8177 10.2129  2.6072	-0.727666	
0.0430557	7.71966e-06 0.000307887	65.0698 34.2017 14.4585 4.01553	65.6318 34.5085 14.4218 4.01827	20.4109 12.8177 10.2129  2.6072	-0.727666	
0.0441222	7.71966e-06 0.000307887	65.0397 34.1853 14.4541 4.01416	65.6318 34.5084 14.4218 4.01829	20.4109 12.8177  10.213 2.60725	-0.727666	
0.045124	7.89353e-06 0.000312396	 65.012 34.1702 14.4498 4.01282	65.6318 34.5082 14.4218 4.01831	20.4106 12.8175 10.2129 2.60726	-0.727666	
0.0461611	8.05012e-06 0.000316384	64.9828 34.1543 14.4456 4.01149	65.6318 34.5081 14.4217 4.01833	20.4106 12.8175 10.2129 2.60731	-0.727666	
0.0471277	8.22076e-06 0.000320652	64.9562 34.1398 14.4413  4.0102	65.6318 34.5079 14.4217 4.01836	20.4103 12.8173 10.2128 2.60731	-0.727666	
0.0481278	8.37445e-06 0.000324424	64.9276 34.1243 14.4372 4.00891	65.6317 34.5078 14.4216 4.01838	20.4102 12.8173 10.2129 2.60737	-0.727666	
0.0491336	8.51161e-06 0.000327734	64.8972 34.1077 14.4332 4.00762	65.6317 34.5076 14.4216  4.0184	20.4105 12.8175 10.2131 2.60748	-0.727666	
0.0501266	8.64766e-06 0.000330963	64.8671 34.0914 14.4292 4.00635	65.6317 34.5075 14.4216 4.01842	20.4108 12.8177 10.2133  2.6076	-0.727666	
0.0511291	8.87188e-06 0.000336168	64.8671 34.0914 14.4292 4.00635	65.6317 34.5072 14.4215 4.01846	20.4092 12.8166 10.2126 2.60739	-0.727666	
0.0521202	9.01961e-06 0.000339517	64.8516 34.0828 14.4251 4.00522	65.6316 34.5071 14.4215 4.01849	20.4091 12.8166 10.2126 2.60745	-0.727666	
0.0530717	9.16607e-06 0.000342771	64.8246 34.0681 14.4212 4.00401	65.6316 34.5069 14.4214 4.01852	65.6316 34.5069 14.4214 4.01852	-0.727666	
0.0541217	9.32572e-06 0.000346245	 64.798 34.0536 14.4173 4.00281	65.6316 34.5067 14.4214 4.01855	20.4087 12.8163 10.2126 2.60752	-0.727666	
0.0551479	9.46952e-06 0.000349307	64.7745 34.0407 14.4135 4.00167	65.6315 34.5065 14.4213 4.01858	20.4086 12.8162 10.2126 2.60759	-0.727666	
0.0560801	9.64043e-06 0.000352865	64.7487 34.0267 14.4098 4.00052	65.6315 34.5065 14.4213 4.01858	20.4086 12.8162 10.2126 2.60759	-0.727666	
0.0570863	9.64043e-06 0.000352865	64.7289 34.0158 14.4062 3.99945	65.6315 34.5063 14.4213 4.01862	20.4078 12.8157 10.2123 2.60752	-0.727666	
0.058086	9.82358e-06 0.000356575	64.7124 34.0067 14.4026 3.99844	65.6315 34.5061 14.4212 4.01866	20.4065 12.8148 10.2118 2.60739	-0.727666	
0.0591303	9.94927e-06 0.000359059	64.6848 33.9917  14.399 3.99731	65.6314 34.5059 14.4211 4.01869	20.4068  12.815  10.212 2.60753	-0.727666	
0.06013	 1.0157e-05 0.000363049	64.6752 33.9862 14.3956 3.99643	65.6314 34.5056 14.4211 4.01874	20.4048 12.8137 10.2112 2.60726	-0.727666	
0.0611287	1.02943e-05 0.000365605	64.6752 33.9862 14.3956 3.99643	65.6313 34.5054  14.421 4.01878	20.4046 12.8136 10.2112 2.60732	-0.727666	
0.0621325	1.04308e-05 0.000368082	64.6512 33.9731 14.3922 3.99537	65.6313 34.5052  14.421 4.01882	20.4045 12.8135 10.2112  2.6074	-0.727666	
0.063126	1.05665e-05 0.000370481	64.6274 33.9601 14.3888 3.99433	65.6312  34.505 14.4209 4.01885	20.4044 12.8135 10.2113 2.60747	-0.727666	
0.064111	1.07014e-05 0.000372802	 64.604 33.9473 14.3854 3.99331	65.6312 34.5047 14.4209 4.01889	20.4043 12.8134 10.2113 2.60755	-0.727666	
0.0651213	1.08354e-05 0.000375048	64.5809 33.9347 14.3821 3.99231	65.6311 34.5045 14.4208 4.01893	20.4041 12.8133 10.2113 2.60762	-0.727666	
0.0661184	1.09686e-05 0.000377218	64.5583 33.9223 14.3789 3.99133	65.6311 34.5043 14.4208 4.01897	65.6311 34.5043 14.4208 4.01897	-0.727666	
0.0670693	1.11008e-05 0.000379315	64.5361 33.9102 14.3757 3.99036	 65.631 34.5041 14.4207 4.01901	 65.631 34.5041 14.4207 4.01901	-0.727666	
0.0680734	1.12452e-05 0.000381537	64.5141 33.8981 14.3725 3.98941	 65.631 34.5041 14.4207 4.01901	20.4038 12.8131 10.2114 2.60778	-0.727666	
0.0690741	1.13625e-05 0.000383291	 64.496 33.8882 14.3695 3.98853	65.6309 34.5036 14.4206  4.0191	65.6309 34.5036 14.4206  4.0191	-0.727666	
0.0700729	1.15049e-05 0.000385357	64.4711 33.8746 14.3663 3.98755	65.6309 34.5033 14.4205 4.01915	65.6309 34.5033 14.4205 4.01915	-0.727666	
0.0711254	1.16205e-05 0.000386985	64.4539 33.8651 14.3634 3.98671	65.6308 34.5031 14.4205 4.01919	65.6308 34.5031 14.4205 4.01919	-0.727666	
0.0720728	 1.1748e-05 0.000388728	64.4297 33.8518 14.3603 3.98576	65.6307 34.5029 14.4204 4.01924	65.6307 34.5029 14.4204 4.01924	-0.727666	
0.0731078	1.18744e-05 0.000390405	64.3899   33.83 14.3545 3.98405	65.6307 34.5026 14.4203 4.01928	20.4026 12.8124 10.2114 2.60824	-0.727666	
0.0740659	1.20494e-05 0.000392641	64.3548 33.8109 14.3513 3.98296	65.6306 34.5025 14.4203 4.01931	20.4045 12.8137 10.2124 2.60868	-0.727666	
0.0750933	1.21358e-05  0.00039371	64.2974 33.7797 14.3453 3.98101	65.6305 34.5021 14.4202 4.01939	20.4066 12.8151 10.2136 2.60929	-0.727666	
0.0760636	1.23176e-05 0.000395894	64.2585 33.7586  14.342 3.97989	65.6305 34.5019 14.4202 4.01941	20.4091 12.8168 10.2149 2.60985	-0.727666	
0.0770631	1.24355e-05 0.000397267	64.2415 33.7492 14.3393 3.97912	65.6304 34.5017 14.4201 4.01946	20.4087 12.8166 10.2148 2.60991	-0.727666	
0.0780616	1.25507e-05 0.000398575	64.2253 33.7403 14.3367 3.97837	65.6303 34.5014   14.42 4.01952	20.4082 12.8163 10.2147 2.60995	-0.727666	
0.0790652	1.25507e-05 0.000398575	64.2094 33.7315 14.3342 3.97763	65.6303 34.5011   14.42 4.01957	20.4078  12.816 10.2146 2.60999	-0.727666	
0.0800641	1.27732e-05    0.000401	64.2165  33.735 14.3323 3.97729	65.6301 34.5007 14.4199 4.01965	20.4043 12.8136 10.2131 2.60951	-0.727666	
0.0810699	1.28701e-05 0.000402011	64.1782 33.7142 14.3292  3.9762	65.6301 34.5005 14.4198 4.01968	20.4068 12.8153 10.2144 2.61009	-0.727666	
0.0820846	1.28701e-05 0.000402011	64.1586 33.7034 14.3266 3.97544	  65.63 34.5003 14.4198 4.01973	20.4069 12.8154 10.2146 2.61024	-0.727666	
0.0830759	1.29753e-05 0.000403076	 64.144 33.6953 14.3242 3.97476	65.6299 34.4999 14.4197 4.01979	20.4064 12.8151 10.2144 2.61029	-0.727666	
