Timestep[1] 	 x_error[2] 	 command_torques[4] 	 joint_gravity[4] 	 effective_joint_gravity[4] 	 alpha[1]
2.2981	1.94371e-05 1.50906e-05	 -1.17585 -0.210212   14.1731   4.34978	  64.99 32.8214 14.1735 4.34998	  64.99 32.8214 14.1735 4.34998	-0.727842	
2.2991	1.93872e-05 1.50067e-05	 -1.17569 -0.210214   14.1731   4.34978	  64.99 32.8214 14.1735 4.34998	  64.99 32.8214 14.1735 4.34998	-0.727841	
2.3001	1.93422e-05 1.49314e-05	 -1.17553 -0.210216   14.1731   4.34979	  64.99 32.8214 14.1735 4.34998	  64.99 32.8214 14.1735 4.34998	-0.727841	
2.30107	1.92862e-05 1.48379e-05	 -1.17542 -0.210241   14.1731   4.34979	  64.99 32.8214 14.1735 4.34998	  64.99 32.8214 14.1735 4.34998	-0.72784	
2.30212	1.92311e-05 1.47462e-05	 -1.17526 -0.210243   14.1731   4.34979	  64.99 32.8214 14.1735 4.34998	33.5817 21.4503  18.067 5.99216	-0.727839	
2.30311	1.91816e-05 1.46643e-05	  -1.1751 -0.210244   14.1731   4.34979	  64.99 32.8214 14.1735 4.34998	33.5817 21.4503  18.067 5.99216	-0.727839	
2.30411	1.91371e-05 1.45908e-05	 -1.17499 -0.210269   14.1731   4.34979	  64.99 32.8214 14.1735 4.34998	  64.99 32.8214 14.1735 4.34998	-0.727838	
2.3051	1.90878e-05 1.45096e-05	 -1.17483 -0.210271   14.1731   4.34979	  64.99 32.8214 14.1735 4.34998	33.5817 21.4503  18.067 5.99217	-0.727838	
2.3061	 1.9034e-05 1.44215e-05	 -1.17471 -0.210296   14.1731   4.34979	  64.99 32.8214 14.1735 4.34998	33.5817 21.4503  18.067 5.99217	-0.727837	
2.3071	1.89854e-05 1.43421e-05	 -1.17456 -0.210297   14.1731    4.3498	  64.99 32.8214 14.1735 4.34998	33.5817 21.4503  18.067 5.99218	-0.727836	
2.3081	1.89461e-05  1.4278e-05	  -1.1744 -0.210299   14.1731    4.3498	  64.99 32.8214 14.1735 4.34998	  64.99 32.8214 14.1735 4.34998	-0.727836	
2.3091	1.88948e-05 1.41948e-05	 -1.17429 -0.210324   14.1731    4.3498	  64.99 32.8214 14.1735 4.34998	33.5816 21.4503  18.067 5.99219	-0.727835	
2.3101	1.88463e-05 1.41163e-05	 -1.17413 -0.210325   14.1732    4.3498	  64.99 32.8214 14.1735 4.34998	  64.99 32.8214 14.1735 4.34998	-0.727834	
2.3111	1.87981e-05 1.40386e-05	 -1.17398 -0.210327   14.1732    4.3498	  64.99 32.8214 14.1735 4.34998	  64.99 32.8214 14.1735 4.34998	-0.727834	
2.3121	  1.875e-05 1.39613e-05	 -1.17386 -0.210352   14.1732    4.3498	  64.99 32.8214 14.1735 4.34998	  64.99 32.8214 14.1735 4.34998	-0.727833	
2.3131	1.87021e-05 1.38846e-05	 -1.17371 -0.210353   14.1732   4.34981	  64.99 32.8214 14.1735 4.34998	  64.99 32.8214 14.1735 4.34998	-0.727833	
2.31411	1.86543e-05 1.38083e-05	  -1.1736 -0.210378   14.1732   4.34981	  64.99 32.8214 14.1735 4.34998	  64.99 32.8214 14.1735 4.34998	-0.727832	
2.3151	1.86066e-05 1.37325e-05	 -1.17344 -0.210379   14.1732   4.34981	  64.99 32.8214 14.1735 4.34998	  64.99 32.8214 14.1735 4.34998	-0.727831	
2.3161	1.85639e-05 1.36647e-05	-1.17329 -0.21038  14.1732  4.34981	  64.99 32.8214 14.1735 4.34998	  64.99 32.8214 14.1735 4.34998	-0.727831	
2.31707	1.85117e-05 1.35824e-05	 -1.17318 -0.210405   14.1732   4.34981	  64.99 32.8214 14.1735 4.34998	33.5815 21.4503 18.0669 5.99221	-0.72783	
2.31806	1.85117e-05 1.35824e-05	 -1.17302 -0.210406   14.1732   4.34981	  64.99 32.8214 14.1735 4.34999	33.5815 21.4503 18.0669 5.99222	-0.727829	
2.31906	1.84586e-05 1.34989e-05	 -1.17287 -0.210407   14.1732   4.34981	  64.99 32.8214 14.1735 4.34999	33.5815 21.4503 18.0669 5.99222	-0.727829	
2.32007	1.84075e-05 1.34187e-05	 -1.17276 -0.210431   14.1732   4.34981	  64.99 32.8214 14.1735 4.34999	33.5815 21.4503 18.0669 5.99222	-0.727828	
2.32107	1.83617e-05 1.33472e-05	  -1.1726 -0.210433   14.1732   4.34982	  64.99 32.8214 14.1735 4.34999	33.5815 21.4503 18.0669 5.99223	-0.727828	
2.32206	 1.8317e-05 1.32777e-05	  -1.1725 -0.210457   14.1732   4.34982	  64.99 32.8214 14.1735 4.34999	33.5815 21.4503 18.0669 5.99223	-0.727827	
2.32306	 1.8224e-05 1.31336e-05	 -1.17234 -0.210458   14.1732   4.34982	  64.99 32.8214 14.1735 4.34999	33.5815 21.4503 18.0669 5.99224	-0.727826	
2.32406	1.81778e-05 1.30624e-05	 -1.17219 -0.210459   14.1732   4.34982	  64.99 32.8214 14.1735 4.34999	33.5815 21.4502 18.0668 5.99224	-0.727826	
2.32506	1.81362e-05 1.29986e-05	 -1.17208 -0.210483   14.1732   4.34982	  64.99 32.8214 14.1735 4.34999	  64.99 32.8214 14.1735 4.34999	-0.727825	
2.32606	1.80902e-05 1.29282e-05	 -1.17193 -0.210483   14.1732   4.34982	  64.99 32.8214 14.1735 4.34999	  64.99 32.8214 14.1735 4.34999	-0.727824	
2.32706	1.80442e-05  1.2858e-05	 -1.17178 -0.210484   14.1732   4.34982	  64.99 32.8214 14.1735 4.34999	  64.99 32.8214 14.1735 4.34999	-0.727824	
2.32806	1.79984e-05 1.27884e-05	 -1.17167 -0.210508   14.1732   4.34982	  64.99 32.8214 14.1735 4.34999	33.5814 21.4502 18.0668 5.99226	-0.727823	
2.32906	1.79507e-05 1.27161e-05	 -1.17152 -0.210509   14.1732   4.34983	  64.99 32.8214 14.1735 4.34999	33.5814 21.4502 18.0668 5.99226	-0.727823	
2.33007	1.79507e-05 1.27161e-05	 -1.17141 -0.210532   14.1732   4.34983	  64.99 32.8214 14.1735 4.34999	33.5814 21.4502 18.0668 5.99226	-0.727822	
2.33106	1.79025e-05 1.26435e-05	 -1.17126 -0.210533   14.1732   4.34983	  64.99 32.8214 14.1735 4.34999	33.5814 21.4502 18.0668 5.99226	-0.727821	
2.33206	1.78573e-05 1.25755e-05	 -1.17111 -0.210533   14.1732   4.34983	  64.99 32.8214 14.1736 4.34999	33.5814 21.4502 18.0668 5.99227	-0.727821	
2.3331	1.78118e-05 1.25073e-05	 -1.17101 -0.210557   14.1732   4.34983	  64.99 32.8214 14.1736 4.34999	33.5813 21.4502 18.0668 5.99227	-0.72782	
2.33406	1.77237e-05  1.2376e-05	 -1.17086 -0.210557   14.1732   4.34983	  64.99 32.8214 14.1736 4.34999	33.5813 21.4502 18.0668 5.99227	-0.72782	
2.33506	1.77237e-05  1.2376e-05	 -1.17075 -0.210581   14.1732   4.34983	  64.99 32.8214 14.1736 4.34999	33.5813 21.4502 18.0667 5.99228	-0.727819	
2.33606	1.76765e-05  1.2306e-05	  -1.1706 -0.210581   14.1732   4.34983	  64.99 32.8214 14.1736 4.34999	33.5813 21.4502 18.0667 5.99228	-0.727818	
2.33706	1.76322e-05 1.22406e-05	 -1.17045 -0.210581   14.1732   4.34984	  64.99 32.8214 14.1736 4.34999	33.5813 21.4502 18.0667 5.99228	-0.727818	
2.33807	1.75876e-05 1.21749e-05	 -1.17035 -0.210605   14.1732   4.34984	  64.99 32.8214 14.1736 4.34999	33.5813 21.4502 18.0667 5.99229	-0.727817	
2.3391	 1.7499e-05 1.20451e-05	  -1.1702 -0.210605   14.1732   4.34984	  64.99 32.8214 14.1736 4.34999	33.5813 21.4502 18.0667 5.99229	-0.727817	
2.3401	 1.7455e-05 1.19809e-05	 -1.17009 -0.210629   14.1732   4.34984	  64.99 32.8214 14.1736 4.34999	33.5813 21.4502 18.0667  5.9923	-0.727816	
2.3411	1.74092e-05 1.19144e-05	 -1.16994 -0.210629   14.1733   4.34984	  64.99 32.8214 14.1736 4.34999	33.5813 21.4502 18.0667  5.9923	-0.727816	
2.3421	1.73653e-05 1.18509e-05	 -1.16984 -0.210652   14.1733   4.34984	  64.99 32.8214 14.1736 4.34999	33.5812 21.4502 18.0667  5.9923	-0.727815	
2.3431	1.73215e-05 1.17877e-05	 -1.16969 -0.210652   14.1733   4.34984	  64.99 32.8214 14.1736 4.34999	33.5812 21.4502 18.0667 5.99231	-0.727814	
2.3441	1.72779e-05 1.17251e-05	 -1.16955 -0.210652   14.1733   4.34984	  64.99 32.8214 14.1736 4.34999	33.5812 21.4502 18.0667 5.99231	-0.727814	
2.3451	1.72343e-05 1.16627e-05	 -1.16944 -0.210675   14.1733   4.34985	  64.99 32.8214 14.1736 4.34999	33.5812 21.4502 18.0667 5.99231	-0.727813	
2.3461	 1.7191e-05 1.16008e-05	  -1.1693 -0.210675   14.1733   4.34985	  64.99 32.8214 14.1736 4.34999	33.5812 21.4502 18.0667 5.99232	-0.727813	
2.3471	1.71477e-05 1.15393e-05	 -1.16919 -0.210698   14.1733   4.34985	  64.99 32.8214 14.1736 4.34999	33.5812 21.4502 18.0666 5.99232	-0.727812	
2.3481	1.71089e-05 1.14843e-05	 -1.16905 -0.210698   14.1733   4.34985	  64.99 32.8214 14.1736 4.34999	  64.99 32.8214 14.1736 4.34999	-0.727811	
2.34912	1.70614e-05 1.14172e-05	  -1.1689 -0.210698   14.1733   4.34985	  64.99 32.8214 14.1736 4.34999	33.5812 21.4502 18.0666 5.99233	-0.727811	
2.3501	1.70614e-05 1.14172e-05	  -1.1688 -0.210721   14.1733   4.34985	  64.99 32.8214 14.1736 4.34999	33.5812 21.4502 18.0666 5.99233	-0.72781	
2.3511	1.69793e-05 1.13019e-05	-1.16865 -0.21072  14.1733  4.34985	  64.99 32.8214 14.1736 4.34999	33.5811 21.4502 18.0666 5.99233	-0.72781	
2.35211	1.69368e-05 1.12424e-05	 -1.16855 -0.210743   14.1733   4.34985	  64.99 32.8214 14.1736 4.34999	  64.99 32.8214 14.1736 4.34999	-0.727809	
2.35312	1.68928e-05 1.11811e-05	 -1.16841 -0.210743   14.1733   4.34985	  64.99 32.8214 14.1736 4.34999	  64.99 32.8214 14.1736 4.34999	-0.727809	
2.35406	1.68928e-05 1.11811e-05	 -1.16831 -0.210765   14.1733   4.34985	  64.99 32.8214 14.1736 4.34999	33.5811 21.4501 18.0666 5.99234	-0.727808	
2.3551	1.68096e-05 1.10658e-05	 -1.16816 -0.210765   14.1733   4.34986	  64.99 32.8214 14.1736 4.34999	  64.99 32.8214 14.1736 4.34999	-0.727807	
2.3561	1.68096e-05 1.10658e-05	 -1.16802 -0.210764   14.1733   4.34986	  64.99 32.8214 14.1736 4.34999	33.5811 21.4501 18.0666 5.99235	-0.727807	
2.35712	1.67239e-05 1.09479e-05	 -1.16792 -0.210787   14.1733   4.34986	  64.99 32.8214 14.1736 4.34999	  64.99 32.8214 14.1736 4.34999	-0.727806	
2.3581	1.67239e-05 1.09479e-05	 -1.16777 -0.210786   14.1733   4.34986	  64.99 32.8214 14.1736 4.34999	33.5811 21.4501 18.0666 5.99236	-0.727806	
2.3591	1.66795e-05 1.08872e-05	 -1.16767 -0.210809   14.1733   4.34986	  64.99 32.8214 14.1736 4.34999	33.5811 21.4501 18.0665 5.99236	-0.727805	
2.3601	1.66378e-05 1.08302e-05	 -1.16753 -0.210809   14.1733   4.34986	  64.99 32.8214 14.1736 4.34999	 33.581 21.4501 18.0665 5.99236	-0.727805	
2.36111	1.65572e-05 1.07208e-05	 -1.16743 -0.210832   14.1733   4.34986	  64.99 32.8214 14.1736 4.34999	  64.99 32.8214 14.1736 4.34999	-0.727804	
2.36212	1.65158e-05  1.0665e-05	 -1.16729 -0.210831   14.1733   4.34986	  64.99 32.8214 14.1736 4.34999	  64.99 32.8214 14.1736 4.34999	-0.727803	
2.36311	1.64746e-05 1.06095e-05	-1.16714 -0.21083  14.1733  4.34987	  64.99 32.8214 14.1736 4.34999	  64.99 32.8214 14.1736 4.34999	-0.727803	
2.3641	1.64333e-05 1.05541e-05	 -1.16705 -0.210853   14.1733   4.34987	  64.99 32.8214 14.1736 4.34999	  64.99 32.8214 14.1736 4.34999	-0.727802	
2.36512	1.63924e-05 1.04994e-05	  -1.1669 -0.210852   14.1733   4.34987	  64.99 32.8214 14.1736 4.34999	  64.99 32.8214 14.1736 4.34999	-0.727802	
2.36612	1.63515e-05  1.0445e-05	 -1.16681 -0.210874   14.1733   4.34987	  64.99 32.8214 14.1736 4.34999	  64.99 32.8214 14.1736 4.34999	-0.727801	
2.36706	1.63106e-05 1.03907e-05	 -1.16666 -0.210873   14.1733   4.34987	  64.99 32.8214 14.1736 4.34999	  64.99 32.8214 14.1736 4.34999	-0.727801	
2.36807	1.62714e-05 1.03389e-05	 -1.16657 -0.210895   14.1733   4.34987	  64.99 32.8214 14.1736 4.34999	 33.581 21.4501 18.0665 5.99239	-0.7278	
2.36911	1.62296e-05 1.02837e-05	 -1.16642 -0.210894   14.1733   4.34987	  64.99 32.8214 14.1736    4.35	  64.99 32.8214 14.1736    4.35	-0.7278	
2.37012	1.61891e-05 1.02306e-05	 -1.16633 -0.210916   14.1733   4.34987	  64.99 32.8214 14.1736    4.35	  64.99 32.8214 14.1736    4.35	-0.727799	
2.37106	1.61501e-05 1.01795e-05	 -1.16619 -0.210914   14.1733   4.34987	  64.99 32.8214 14.1736    4.35	33.5809 21.4501 18.0664  5.9924	-0.727798	
2.37212	1.61086e-05 1.01253e-05	 -1.16605 -0.210913   14.1733   4.34987	  64.99 32.8214 14.1736    4.35	  64.99 32.8214 14.1736    4.35	-0.727798	
2.37312	1.60684e-05 1.00731e-05	 -1.16595 -0.210935   14.1733   4.34987	  64.99 32.8214 14.1736    4.35	  64.99 32.8214 14.1736    4.35	-0.727797	
2.37411	1.60283e-05 1.00212e-05	 -1.16581 -0.210934   14.1733   4.34988	  64.99 32.8214 14.1736    4.35	  64.99 32.8214 14.1736    4.35	-0.727797	
2.37512	1.59886e-05 9.96993e-06	 -1.16571 -0.210956   14.1733   4.34988	  64.99 32.8214 14.1736    4.35	  64.99 32.8214 14.1736    4.35	-0.727796	
2.37611	1.59488e-05 9.91875e-06	 -1.16558 -0.210954   14.1733   4.34988	  64.99 32.8214 14.1736    4.35	  64.99 32.8214 14.1736    4.35	-0.727796	
2.3771	1.59092e-05 9.86795e-06	 -1.16548 -0.210976   14.1733   4.34988	  64.99 32.8214 14.1736    4.35	  64.99 32.8214 14.1736    4.35	-0.727795	
2.37811	1.58696e-05  9.8174e-06	 -1.16534 -0.210974   14.1733   4.34988	  64.99 32.8214 14.1736    4.35	33.5808 21.4501 18.0664 5.99242	-0.727795	
2.37913	1.58302e-05 9.76721e-06	 -1.16525 -0.210996   14.1733   4.34988	  64.99 32.8214 14.1736    4.35	  64.99 32.8214 14.1736    4.35	-0.727794	
2.38012	1.57909e-05 9.71736e-06	 -1.16511 -0.210994   14.1734   4.34988	  64.99 32.8214 14.1736    4.35	  64.99 32.8214 14.1736    4.35	-0.727793	
2.3811	1.57506e-05 9.66637e-06	 -1.16497 -0.210993   14.1734   4.34988	  64.99 32.8214 14.1736    4.35	  64.99 32.8214 14.1736    4.35	-0.727793	
2.38211	1.57115e-05 9.61708e-06	 -1.16488 -0.211014   14.1734   4.34988	  64.99 32.8214 14.1736    4.35	  64.99 32.8214 14.1736    4.35	-0.727792	
2.3831	1.56754e-05 9.57184e-06	 -1.16474 -0.211012   14.1734   4.34988	  64.99 32.8214 14.1736    4.35	  64.99 32.8214 14.1736    4.35	-0.727792	
2.38406	1.56359e-05 9.52233e-06	 -1.16464 -0.211034   14.1734   4.34988	  64.99 32.8214 14.1736    4.35	  64.99 32.8214 14.1736    4.35	-0.727791	
2.38506	1.56011e-05  9.4789e-06	 -1.16451 -0.211032   14.1734   4.34989	  64.99 32.8214 14.1736    4.35	  64.99 32.8214 14.1736    4.35	-0.727791	
2.3861	1.55559e-05 9.42278e-06	 -1.16441 -0.211054   14.1734   4.34989	  64.99 32.8214 14.1736    4.35	  64.99 32.8214 14.1736    4.35	-0.72779	
2.38711	1.55206e-05 9.37903e-06	 -1.16428 -0.211051   14.1734   4.34989	  64.99 32.8214 14.1736    4.35	  64.99 32.8214 14.1736    4.35	-0.72779	
2.38807	1.54812e-05 9.33039e-06	 -1.16418 -0.211073   14.1734   4.34989	  64.99 32.8214 14.1736    4.35	  64.99 32.8214 14.1736    4.35	-0.727789	
2.3891	1.54508e-05 9.29296e-06	 -1.16405 -0.211071   14.1734   4.34989	  64.99 32.8214 14.1736    4.35	  64.99 32.8214 14.1736    4.35	-0.727789	
2.3901	1.54087e-05 9.24135e-06	 -1.16395 -0.211092   14.1734   4.34989	  64.99 32.8214 14.1736    4.35	  64.99 32.8214 14.1736    4.35	-0.727788	
2.3911	1.53668e-05 9.19011e-06	-1.16382 -0.21109  14.1734  4.34989	  64.99 32.8214 14.1736    4.35	  64.99 32.8214 14.1736    4.35	-0.727788	
2.39207	1.53312e-05 9.14681e-06	 -1.16373 -0.211111   14.1734   4.34989	  64.99 32.8214 14.1736    4.35	  64.99 32.8214 14.1736    4.35	-0.727787	
2.3931	1.52946e-05 9.10239e-06	 -1.16359 -0.211109   14.1734   4.34989	  64.99 32.8214 14.1736    4.35	  64.99 32.8214 14.1736    4.35	-0.727787	
2.3941	1.52569e-05 9.05675e-06	 -1.1635 -0.21113  14.1734  4.34989	  64.99 32.8214 14.1736    4.35	  64.99 32.8214 14.1736    4.35	-0.727786	
2.3951	1.52192e-05 9.01133e-06	 -1.16336 -0.211128   14.1734   4.34989	  64.99 32.8214 14.1736    4.35	  64.99 32.8214 14.1736    4.35	-0.727785	
2.3961	1.51816e-05 8.96614e-06	 -1.16323 -0.211125   14.1734    4.3499	  64.99 32.8214 14.1736    4.35	  64.99 32.8214 14.1736    4.35	-0.727785	
2.39711	1.51441e-05 8.92125e-06	 -1.16314 -0.211147   14.1734    4.3499	  64.99 32.8214 14.1736    4.35	33.5806   21.45 18.0662 5.99248	-0.727784	
2.3981	1.51067e-05 8.87666e-06	   -1.163 -0.211144   14.1734    4.3499	  64.99 32.8214 14.1736    4.35	  64.99 32.8214 14.1736    4.35	-0.727784	
2.3991	1.50694e-05 8.83232e-06	 -1.16291 -0.211165   14.1734    4.3499	  64.99 32.8214 14.1736    4.35	  64.99 32.8214 14.1736    4.35	-0.727783	
2.40006	 1.5036e-05 8.79265e-06	 -1.16278 -0.211163   14.1734    4.3499	  64.99 32.8214 14.1736    4.35	  64.99 32.8214 14.1736    4.35	-0.727783	
2.40106	1.49951e-05  8.7444e-06	 -1.16269 -0.211183   14.1734    4.3499	  64.99 32.8214 14.1736    4.35	33.5806   21.45 18.0662 5.99249	-0.727782	
2.4021	1.49537e-05 8.69561e-06	 -1.16256 -0.211181   14.1734    4.3499	  64.99 32.8214 14.1736    4.35	33.5806   21.45 18.0662 5.99249	-0.727782	
2.4031	1.49162e-05 8.65171e-06	 -1.16247 -0.211202   14.1734    4.3499	  64.99 32.8214 14.1736    4.35	33.5806   21.45 18.0662 5.99249	-0.727781	
2.40406	 1.4883e-05 8.61287e-06	 -1.16233 -0.211199   14.1734    4.3499	  64.99 32.8214 14.1736    4.35	  64.99 32.8214 14.1736    4.35	-0.727781	
2.40506	1.48466e-05 8.57043e-06	-1.16224 -0.21122  14.1734   4.3499	  64.99 32.8214 14.1736    4.35	  64.99 32.8214 14.1736    4.35	-0.72778	
2.4061	1.48084e-05 8.52608e-06	 -1.16211 -0.211217   14.1734    4.3499	  64.99 32.8214 14.1736    4.35	  64.99 32.8214 14.1736    4.35	-0.72778	
2.40706	1.48084e-05 8.52608e-06	 -1.16202 -0.211237   14.1734    4.3499	  64.99 32.8214 14.1736    4.35	33.5805   21.45 18.0662 5.99251	-0.727779	
2.40806	1.47341e-05 8.44035e-06	 -1.16189 -0.211235   14.1734   4.34991	  64.99 32.8214 14.1736    4.35	33.5805   21.45 18.0662 5.99251	-0.727779	
2.4091	1.46994e-05 8.40042e-06	  -1.1618 -0.211255   14.1734   4.34991	  64.99 32.8214 14.1736    4.35	  64.99 32.8214 14.1736    4.35	-0.727778	
2.41007	1.46632e-05 8.35899e-06	 -1.16167 -0.211252   14.1734   4.34991	  64.99 32.8214 14.1736    4.35	33.5805   21.45 18.0661 5.99251	-0.727778	
2.41107	1.46271e-05 8.31782e-06	 -1.16158 -0.211272   14.1734   4.34991	  64.99 32.8214 14.1736    4.35	33.5805   21.45 18.0661 5.99252	-0.727777	
2.41207	1.45911e-05 8.27678e-06	 -1.16145 -0.211269   14.1734   4.34991	  64.99 32.8214 14.1736    4.35	33.5805   21.45 18.0661 5.99252	-0.727777	
2.41307	1.45554e-05 8.23634e-06	-1.16136 -0.21129  14.1734  4.34991	  64.99 32.8214 14.1736    4.35	33.5805   21.45 18.0661 5.99252	-0.727776	
2.41407	1.45195e-05 8.19585e-06	 -1.16123 -0.211287   14.1734   4.34991	  64.99 32.8214 14.1736    4.35	33.5805   21.45 18.0661 5.99253	-0.727776	
2.41507	1.45195e-05 8.19585e-06	 -1.16115 -0.211307   14.1734   4.34991	  64.99 32.8214 14.1736    4.35	33.5805   21.45 18.0661 5.99253	-0.727775	
2.41606	1.44483e-05  8.1158e-06	 -1.16102 -0.211304   14.1734   4.34991	  64.99 32.8214 14.1736    4.35	  64.99 32.8214 14.1736    4.35	-0.727775	
2.41706	1.44129e-05 8.07616e-06	 -1.16093 -0.211324   14.1734   4.34991	  64.99 32.8214 14.1736    4.35	33.5804 21.4499 18.0661 5.99253	-0.727774	
2.41807	1.43786e-05 8.03792e-06	  -1.1608 -0.211321   14.1734   4.34991	  64.99 32.8214 14.1736    4.35	33.5804 21.4499 18.0661 5.99254	-0.727774	
2.4191	1.43786e-05 8.03792e-06	 -1.16071 -0.211341   14.1734   4.34991	  64.99 32.8214 14.1736    4.35	33.5804 21.4499 18.0661 5.99254	-0.727773	
2.4201	1.43401e-05 7.99525e-06	 -1.16058 -0.211337   14.1734   4.34991	  64.99 32.8214 14.1736    4.35	33.5804 21.4499 18.0661 5.99254	-0.727773	
2.42107	1.43033e-05 7.95452e-06	  -1.1605 -0.211357   14.1734   4.34991	  64.99 32.8214 14.1736    4.35	33.5804 21.4499 18.0661 5.99254	-0.727772	
2.42206	  1.427e-05 7.91772e-06	 -1.16037 -0.211354   14.1734   4.34992	  64.99 32.8214 14.1736    4.35	33.5804 21.4499 18.0661 5.99255	-0.727772	
2.42306	1.42335e-05 7.87758e-06	 -1.16028 -0.211374   14.1734   4.34992	  64.99 32.8215 14.1736    4.35	33.5804 21.4499  18.066 5.99255	-0.727771	
2.4241	1.41985e-05 7.83925e-06	-1.16016 -0.21137  14.1734  4.34992	  64.99 32.8215 14.1736    4.35	33.5804 21.4499  18.066 5.99255	-0.727771	
2.42511	1.41291e-05 7.76363e-06	-1.16007 -0.21139  14.1734  4.34992	  64.99 32.8215 14.1736    4.35	33.5804 21.4499  18.066 5.99256	-0.72777	
2.42611	1.41291e-05 7.76363e-06	 -1.15994 -0.211386   14.1734   4.34992	  64.99 32.8215 14.1736    4.35	33.5804 21.4499  18.066 5.99256	-0.72777	
2.42711	1.40944e-05 7.72595e-06	 -1.15986 -0.211406   14.1734   4.34992	  64.99 32.8215 14.1736    4.35	33.5803 21.4499  18.066 5.99256	-0.727769	
2.4281	 1.4029e-05 7.65539e-06	 -1.15973 -0.211402   14.1734   4.34992	  64.99 32.8215 14.1736    4.35	  64.99 32.8215 14.1736    4.35	-0.727769	
2.42911	1.39926e-05 7.61633e-06	 -1.15965 -0.211422   14.1734   4.34992	  64.99 32.8215 14.1736    4.35	33.5803 21.4499  18.066 5.99257	-0.727768	
2.4301	1.39926e-05 7.61633e-06	 -1.15952 -0.211418   14.1735   4.34992	  64.99 32.8215 14.1736    4.35	33.5803 21.4499  18.066 5.99257	-0.727768	
2.4311	1.39569e-05 7.57806e-06	 -1.15943 -0.211438   14.1735   4.34992	  64.99 32.8215 14.1736    4.35	33.5803 21.4499  18.066 5.99257	-0.727767	
2.4321	1.39227e-05 7.54159e-06	 -1.15931 -0.211434   14.1735   4.34992	  64.99 32.8215 14.1736    4.35	33.5803 21.4499  18.066 5.99257	-0.727767	
2.43311	1.38563e-05 7.47118e-06	 -1.15922 -0.211454   14.1735   4.34992	  64.99 32.8215 14.1736 4.35001	33.5803 21.4499  18.066 5.99258	-0.727766	
2.43407	1.38563e-05 7.47118e-06	 -1.1591 -0.21145  14.1735  4.34992	  64.99 32.8215 14.1736 4.35001	33.5803 21.4499  18.066 5.99258	-0.727766	
2.43512	1.37901e-05 7.40131e-06	 -1.15901 -0.211469   14.1735   4.34992	  64.99 32.8215 14.1736 4.35001	33.5803 21.4499  18.066 5.99258	-0.727765	
2.4361	1.37901e-05 7.40131e-06	 -1.15889 -0.211465   14.1735   4.34993	  64.99 32.8215 14.1736 4.35001	33.5803 21.4499  18.066 5.99258	-0.727765	
2.4371	1.37549e-05 7.36442e-06	 -1.15881 -0.211485   14.1735   4.34992	  64.99 32.8215 14.1736 4.35001	33.5803 21.4499 18.0659 5.99259	-0.727765	
2.43807	 1.3688e-05 7.29456e-06	 -1.15872 -0.211504   14.1735   4.34992	  64.99 32.8215 14.1736 4.35001	33.5802 21.4499 18.0659 5.99259	-0.727764	
2.4391	1.36533e-05 7.25853e-06	-1.1586 -0.2115 14.1735 4.34993	  64.99 32.8215 14.1736 4.35001	33.5802 21.4499 18.0659 5.99259	-0.727764	
2.44006	1.36533e-05 7.25853e-06	 -1.15852 -0.211519   14.1735   4.34993	  64.99 32.8215 14.1736 4.35001	33.5802 21.4499 18.0659  5.9926	-0.727763	
2.44106	1.36199e-05 7.22395e-06	 -1.15839 -0.211515   14.1735   4.34993	  64.99 32.8215 14.1736 4.35001	33.5802 21.4499 18.0659  5.9926	-0.727763	
2.44206	1.35563e-05  7.1584e-06	 -1.15831 -0.211534   14.1735   4.34993	  64.99 32.8215 14.1736 4.35001	33.5802 21.4499 18.0659  5.9926	-0.727762	
2.44306	1.35563e-05  7.1584e-06	 -1.15818 -0.211529   14.1735   4.34993	  64.99 32.8215 14.1736 4.35001	33.5802 21.4499 18.0659  5.9926	-0.727762	
2.44406	1.35228e-05  7.1241e-06	  -1.1581 -0.211548   14.1735   4.34993	  64.99 32.8215 14.1736 4.35001	33.5802 21.4499 18.0659 5.99261	-0.727761	
2.44506	1.34592e-05 7.05922e-06	 -1.15798 -0.211544   14.1735   4.34993	  64.99 32.8215 14.1736 4.35001	  64.99 32.8215 14.1736 4.35001	-0.727761	
2.44606	1.34592e-05 7.05922e-06	  -1.1579 -0.211563   14.1735   4.34993	  64.99 32.8215 14.1736 4.35001	33.5802 21.4499 18.0659 5.99261	-0.72776	
2.44706	1.34242e-05 7.02369e-06	 -1.15777 -0.211558   14.1735   4.34993	  64.99 32.8215 14.1736 4.35001	33.5802 21.4499 18.0659 5.99261	-0.72776	
2.44806	1.33914e-05 6.99049e-06	 -1.15769 -0.211577   14.1735   4.34993	  64.99 32.8215 14.1736 4.35001	33.5802 21.4499 18.0659 5.99262	-0.727759	
2.44906	1.33286e-05 6.92725e-06	 -1.15757 -0.211573   14.1735   4.34993	  64.99 32.8215 14.1736 4.35001	  64.99 32.8215 14.1736 4.35001	-0.727759	
2.45006	1.33286e-05 6.92725e-06	 -1.15749 -0.211592   14.1735   4.34993	  64.99 32.8215 14.1736 4.35001	33.5801 21.4498 18.0659 5.99262	-0.727758	
2.45111	1.32618e-05 6.86041e-06	 -1.15737 -0.211587   14.1735   4.34993	  64.99 32.8215 14.1736 4.35001	  64.99 32.8215 14.1736 4.35001	-0.727758	
