Timestep[1] 	 x_error[2] 	 command_torques[4] 	 joint_gravity[4] 	 effective_joint_gravity[4] 	 alpha[1] 	 colinearity[1]
1.65107	2.09929e-06 5.28344e-06	25.4992 15.0543 13.8764 4.31015	65.3969 32.9616 13.8766 4.31029	26.3669 16.8379 14.0285  4.4738	0	-0.573939	
1.65207	2.08944e-06 5.25709e-06	25.4992 15.0543 13.8764 4.31015	65.3969 32.9616 13.8766 4.31029	65.3969 32.9616 13.8766 4.31029	0	-0.573939	
1.65311	2.07644e-06 5.22237e-06	25.4992 15.0543 13.8764 4.31016	65.3969 32.9616 13.8766 4.31029	26.3669 16.8379 14.0285  4.4738	0	-0.573939	
1.65406	 2.0639e-06 5.18891e-06	25.4992 15.0543 13.8764 4.31016	65.3969 32.9616 13.8766 4.31029	26.3669 16.8379 14.0285  4.4738	0	-0.573939	
1.65508	2.05102e-06 5.15457e-06	25.4992 15.0544 13.8764 4.31016	65.3969 32.9616 13.8766 4.31029	65.3969 32.9616 13.8766 4.31029	0	-0.573939	
1.65611	2.04025e-06 5.12587e-06	25.4992 15.0544 13.8764 4.31016	65.3969 32.9616 13.8766 4.31029	26.3669 16.8379 14.0285  4.4738	0	-0.573939	
1.65711	2.02956e-06 5.09741e-06	25.4992 15.0544 13.8764 4.31016	65.3969 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285  4.4738	0	-0.573939	
1.65811	2.01705e-06 5.06412e-06	25.4992 15.0544 13.8764 4.31016	65.3969 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285  4.4738	0	-0.573939	
1.65911	2.00551e-06 5.03346e-06	25.4992 15.0544 13.8764 4.31016	65.3969 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285  4.4738	0	-0.573939	
1.66011	1.99401e-06  5.0029e-06	25.4992 15.0544 13.8764 4.31017	65.3969 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285  4.4738	0	-0.573939	
1.66111	1.98351e-06 4.97502e-06	25.4992 15.0544 13.8764 4.31017	65.3969 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285  4.4738	0	-0.573939	
1.66209	1.97436e-06 4.95076e-06	25.4992 15.0545 13.8764 4.31017	65.3969 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285  4.4738	0	-0.573939	
1.66311	1.95979e-06 4.91215e-06	25.4993 15.0545 13.8764 4.31017	65.3969 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285  4.4738	0	-0.573939	
1.66411	1.94827e-06 4.88162e-06	25.4993 15.0545 13.8764 4.31017	65.3969 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285  4.4738	0	-0.573939	
1.66511	1.94034e-06 4.86066e-06	25.4993 15.0545 13.8764 4.31017	65.3969 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285  4.4738	0	-0.57394	
1.66611	1.92684e-06 4.82495e-06	25.4993 15.0545 13.8764 4.31017	65.3969 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285  4.4738	0	-0.57394	
1.66706	1.91484e-06 4.79325e-06	25.4993 15.0545 13.8764 4.31018	65.3969 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285 4.47381	0	-0.57394	
1.66811	1.90353e-06 4.76339e-06	25.4993 15.0545 13.8764 4.31018	65.3969 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285 4.47381	0	-0.57394	
1.66909	1.89585e-06 4.74312e-06	25.4993 15.0546 13.8764 4.31018	65.3969 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285 4.47381	0	-0.57394	
1.6701	1.88288e-06 4.70892e-06	25.4993 15.0546 13.8764 4.31018	65.3969 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285 4.47381	0	-0.57394	
1.67108	1.86961e-06 4.67395e-06	25.4993 15.0546 13.8764 4.31018	65.3969 32.9616 13.8766  4.3103	65.3969 32.9616 13.8766  4.3103	0	-0.57394	
1.67211	1.85946e-06 4.64723e-06	25.4993 15.0546 13.8764 4.31018	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285 4.47381	0	-0.57394	
1.67311	1.85215e-06 4.62799e-06	25.4993 15.0546 13.8764 4.31018	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285 4.47381	0	-0.57394	
1.67411	1.83758e-06 4.58969e-06	25.4993 15.0546 13.8764 4.31019	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285 4.47381	0	-0.57394	
1.67511	1.82675e-06 4.56124e-06	25.4993 15.0546 13.8764 4.31019	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285 4.47381	0	-0.57394	
1.67611	1.81595e-06  4.5329e-06	25.4993 15.0546 13.8764 4.31019	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285 4.47381	0	-0.57394	
1.6771	1.80837e-06   4.513e-06	25.4994 15.0547 13.8764 4.31019	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285 4.47381	0	-0.57394	
1.67807	1.79419e-06 4.47581e-06	25.4994 15.0547 13.8764 4.31019	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285 4.47381	0	-0.57394	
1.67907	1.78377e-06 4.44851e-06	25.4994 15.0547 13.8764 4.31019	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285 4.47381	0	-0.57394	
1.68011	 1.7734e-06 4.42136e-06	25.4994 15.0547 13.8764 4.31019	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285 4.47381	0	-0.57394	
1.68111	1.76141e-06 4.39001e-06	25.4994 15.0547 13.8764 4.31019	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285 4.47381	0	-0.57394	
1.68211	1.75188e-06 4.36509e-06	25.4994 15.0547 13.8764  4.3102	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285 4.47381	0	-0.57394	
1.68311	1.74065e-06 4.33575e-06	25.4994 15.0547 13.8764  4.3102	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285 4.47381	0	-0.57394	
1.68411	1.73278e-06 4.31519e-06	25.4994 15.0547 13.8764  4.3102	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285 4.47381	0	-0.57394	
1.68511	1.72134e-06 4.28533e-06	25.4994 15.0547 13.8764  4.3102	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285 4.47381	0	-0.57394	
1.68611	1.71094e-06 4.25822e-06	25.4994 15.0548 13.8764  4.3102	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285 4.47381	0	-0.57394	
1.68711	1.69895e-06 4.22698e-06	25.4994 15.0548 13.8764  4.3102	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285 4.47381	0	-0.57394	
1.68811	1.68973e-06 4.20295e-06	25.4994 15.0548 13.8764  4.3102	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285 4.47381	0	-0.57394	
1.68911	1.68051e-06 4.17896e-06	25.4994 15.0548 13.8765  4.3102	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285 4.47381	0	-0.57394	
1.69011	1.66895e-06 4.14888e-06	25.4994 15.0548 13.8765 4.31021	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285 4.47381	0	-0.57394	
1.69112	1.65872e-06 4.12231e-06	25.4994 15.0548 13.8765 4.31021	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285 4.47381	0	-0.57394	
1.69211	1.64861e-06 4.09603e-06	25.4994 15.0548 13.8765 4.31021	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285 4.47381	0	-0.57394	
1.69307	1.63846e-06 4.06968e-06	25.4994 15.0548 13.8765 4.31021	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285 4.47381	0	-0.57394	
1.69411	1.62777e-06 4.04194e-06	25.4995 15.0549 13.8765 4.31021	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285 4.47381	0	-0.57394	
1.69511	1.61741e-06  4.0151e-06	25.4995 15.0549 13.8765 4.31021	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285 4.47381	0	-0.57394	
1.69611	1.60839e-06 3.99173e-06	25.4995 15.0549 13.8765 4.31021	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285 4.47381	0	-0.57394	
1.69711	1.59747e-06 3.96344e-06	25.4995 15.0549 13.8765 4.31021	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285 4.47381	0	-0.57394	
1.69811	1.58862e-06 3.94053e-06	25.4995 15.0549 13.8765 4.31022	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285 4.47381	0	-0.57394	
1.69907	1.57873e-06 3.91495e-06	25.4995 15.0549 13.8765 4.31022	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285 4.47381	0	-0.57394	
1.70007	1.56919e-06 3.89028e-06	25.4995 15.0549 13.8765 4.31022	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0285 4.47381	0	-0.57394	
1.70111	1.55922e-06 3.86452e-06	25.4995 15.0549 13.8765 4.31022	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0286 4.47381	0	-0.57394	
1.70212	1.54975e-06 3.84006e-06	25.4995 15.0549 13.8765 4.31022	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0286 4.47381	0	-0.57394	
1.70311	1.54007e-06 3.81508e-06	25.4995  15.055 13.8765 4.31022	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0286 4.47381	0	-0.57394	
1.70412	1.53041e-06 3.79018e-06	25.4995  15.055 13.8765 4.31022	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0286 4.47381	0	-0.57394	
1.70512	 1.5205e-06 3.76462e-06	25.4995  15.055 13.8765 4.31022	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0286 4.47381	0	-0.57394	
1.70611	1.51101e-06 3.74018e-06	25.4995  15.055 13.8765 4.31022	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0286 4.47381	0	-0.57394	
1.70711	1.5015e-06 3.7157e-06	25.4995  15.055 13.8765 4.31023	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0286 4.47381	0	-0.57394	
1.70811	1.49202e-06 3.69129e-06	25.4995  15.055 13.8765 4.31023	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0286 4.47381	0	-0.57394	
1.70911	1.48262e-06 3.66712e-06	25.4995  15.055 13.8765 4.31023	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0286 4.47381	0	-0.57394	
1.71011	1.4732e-06 3.6429e-06	25.4995  15.055 13.8765 4.31023	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0286 4.47381	0	-0.57394	
1.71111	1.46368e-06 3.61845e-06	25.4995  15.055 13.8765 4.31023	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0286 4.47381	0	-0.57394	
1.71211	1.45434e-06 3.59447e-06	25.4995  15.055 13.8765 4.31023	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0286 4.47381	0	-0.57394	
1.71311	 1.4451e-06 3.57077e-06	25.4996  15.055 13.8765 4.31023	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0286 4.47381	0	-0.57394	
1.71411	1.43589e-06 3.54715e-06	25.4996 15.0551 13.8765 4.31023	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0286 4.47381	0	-0.57394	
1.71512	1.42759e-06 3.52586e-06	25.4996 15.0551 13.8765 4.31023	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0286 4.47381	0	-0.57394	
1.71611	1.41756e-06 3.50018e-06	25.4996 15.0551 13.8765 4.31023	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0286 4.47381	0	-0.57394	
1.71706	1.41164e-06 3.48501e-06	25.4996 15.0551 13.8765 4.31024	65.3968 32.9616 13.8766  4.3103	26.3669 16.8379 14.0286 4.47381	0	-0.57394	
1.71806	1.39989e-06 3.45493e-06	25.4996 15.0551 13.8765 4.31024	65.3968 32.9616 13.8766 4.31031	26.3669 16.8379 14.0286 4.47381	0	-0.57394	
1.71912	1.39267e-06 3.43646e-06	25.4996 15.0551 13.8765 4.31024	65.3968 32.9616 13.8766 4.31031	26.3669 16.8379 14.0286 4.47381	0	-0.57394	
1.72006	1.38156e-06 3.40806e-06	25.4996 15.0551 13.8765 4.31024	65.3968 32.9616 13.8766 4.31031	65.3968 32.9616 13.8766 4.31031	0	-0.57394	
1.72108	1.37271e-06 3.38545e-06	25.4996 15.0551 13.8765 4.31024	65.3968 32.9616 13.8766 4.31031	26.3669 16.8379 14.0286 4.47382	0	-0.57394	
1.7221	1.36544e-06 3.36689e-06	25.4996 15.0551 13.8765 4.31024	65.3968 32.9616 13.8766 4.31031	26.3669 16.8379 14.0286 4.47382	0	-0.57394	
1.7231	1.35668e-06 3.34452e-06	25.4996 15.0551 13.8765 4.31024	65.3968 32.9616 13.8766 4.31031	26.3669 16.8379 14.0286 4.47382	0	-0.57394	
1.72406	1.34634e-06 3.31815e-06	25.4996 15.0551 13.8765 4.31024	65.3968 32.9616 13.8766 4.31031	26.3669 16.8379 14.0286 4.47382	0	-0.57394	
1.72506	1.33738e-06  3.2953e-06	25.4996 15.0552 13.8765 4.31024	65.3968 32.9616 13.8766 4.31031	26.3669 16.8379 14.0286 4.47382	0	-0.57394	
1.7261	1.32859e-06  3.2729e-06	25.4996 15.0552 13.8765 4.31024	65.3968 32.9616 13.8766 4.31031	26.3669 16.8379 14.0286 4.47382	0	-0.57394	
1.7271	1.31991e-06  3.2508e-06	25.4996 15.0552 13.8765 4.31025	65.3968 32.9616 13.8766 4.31031	26.3669 16.8379 14.0286 4.47382	0	-0.57394	
1.7281	1.31125e-06 3.22874e-06	25.4996 15.0552 13.8765 4.31025	65.3968 32.9616 13.8766 4.31031	26.3669 16.8379 14.0286 4.47382	0	-0.57394	
1.7291	1.30267e-06 3.20693e-06	25.4996 15.0552 13.8765 4.31025	65.3968 32.9616 13.8766 4.31031	26.3669 16.8379 14.0286 4.47382	0	-0.57394	
1.7301	 1.2939e-06 3.18462e-06	25.4996 15.0552 13.8765 4.31025	65.3968 32.9616 13.8766 4.31031	26.3669 16.8379 14.0286 4.47382	0	-0.57394	
1.73111	1.28549e-06 3.16325e-06	25.4996 15.0552 13.8765 4.31025	65.3968 32.9616 13.8766 4.31031	26.3669 16.8379 14.0286 4.47382	0	-0.57394	
1.73207	1.27724e-06 3.14228e-06	25.4996 15.0552 13.8765 4.31025	65.3968 32.9616 13.8766 4.31031	26.3669 16.8379 14.0286 4.47382	0	-0.57394	
1.73309	1.26858e-06 3.12029e-06	25.4996 15.0552 13.8765 4.31025	65.3968 32.9616 13.8766 4.31031	26.3669 16.8379 14.0286 4.47382	0	-0.57394	
1.73406	1.26016e-06 3.09892e-06	25.4996 15.0552 13.8765 4.31025	65.3968 32.9616 13.8766 4.31031	26.3669 16.8379 14.0286 4.47382	0	-0.57394	
1.73506	1.25246e-06 3.07936e-06	25.4997 15.0552 13.8765 4.31025	65.3968 32.9616 13.8766 4.31031	65.3968 32.9616 13.8766 4.31031	0	-0.57394	
1.73606	1.24256e-06 3.05427e-06	25.4997 15.0552 13.8765 4.31025	65.3968 32.9616 13.8766 4.31031	26.3669 16.8379 14.0286 4.47382	0	-0.57394	
1.7371	1.23516e-06 3.03552e-06	25.4997 15.0553 13.8765 4.31025	65.3968 32.9616 13.8766 4.31031	26.3669 16.8379 14.0286 4.47382	0	-0.57394	
1.73807	1.22712e-06 3.01514e-06	25.4997 15.0553 13.8765 4.31026	65.3968 32.9616 13.8766 4.31031	26.3669 16.8379 14.0286 4.47382	0	-0.57394	
1.73906	1.21866e-06 2.99373e-06	25.4997 15.0553 13.8765 4.31026	65.3968 32.9616 13.8766 4.31031	65.3968 32.9616 13.8766 4.31031	0	-0.57394	
1.74006	1.21074e-06 2.97368e-06	25.4997 15.0553 13.8765 4.31026	65.3968 32.9616 13.8766 4.31031	26.3669 16.8379 14.0286 4.47382	0	-0.57394	
1.74106	1.20179e-06 2.95103e-06	25.4997 15.0553 13.8765 4.31026	65.3968 32.9616 13.8766 4.31031	65.3968 32.9616 13.8766 4.31031	0	-0.57394	
1.74206	1.19369e-06 2.93056e-06	25.4997 15.0553 13.8765 4.31026	65.3968 32.9616 13.8766 4.31031	65.3968 32.9616 13.8766 4.31031	0	-0.57394	
1.74306	1.18565e-06 2.91023e-06	25.4997 15.0553 13.8766 4.31026	65.3968 32.9616 13.8766 4.31031	65.3968 32.9616 13.8766 4.31031	0	-0.57394	
1.74406	1.17763e-06 2.88998e-06	25.4997 15.0553 13.8766 4.31026	65.3968 32.9616 13.8766 4.31031	65.3968 32.9616 13.8766 4.31031	0	-0.57394	
1.74506	1.16964e-06 2.86981e-06	25.4997 15.0553 13.8766 4.31026	65.3968 32.9616 13.8766 4.31031	65.3968 32.9616 13.8766 4.31031	0	-0.57394	
1.74606	1.16227e-06  2.8512e-06	25.4997 15.0553 13.8766 4.31026	65.3968 32.9616 13.8766 4.31031	65.3968 32.9616 13.8766 4.31031	0	-0.57394	
1.74706	1.15436e-06 2.83124e-06	25.4997 15.0553 13.8766 4.31026	65.3968 32.9616 13.8766 4.31031	65.3968 32.9616 13.8766 4.31031	0	-0.57394	
1.74806	 1.1465e-06 2.81142e-06	25.4997 15.0553 13.8766 4.31026	65.3968 32.9616 13.8766 4.31031	65.3968 32.9616 13.8766 4.31031	0	-0.57394	
1.74906	1.13968e-06 2.79423e-06	25.4997 15.0553 13.8766 4.31027	65.3968 32.9616 13.8766 4.31031	26.3669 16.8379 14.0286 4.47382	0	-0.57394	
1.75006	1.13035e-06 2.77072e-06	25.4997 15.0553 13.8766 4.31027	65.3968 32.9616 13.8766 4.31031	65.3968 32.9616 13.8766 4.31031	0	-0.57394	
1.75106	1.12336e-06 2.75312e-06	25.4997 15.0554 13.8766 4.31027	65.3968 32.9616 13.8766 4.31031	65.3968 32.9616 13.8766 4.31031	0	-0.57394	
1.75206	1.11543e-06 2.73317e-06	25.4997 15.0554 13.8766 4.31027	65.3968 32.9616 13.8766 4.31031	65.3968 32.9616 13.8766 4.31031	0	-0.57394	
1.75306	1.10799e-06 2.71444e-06	25.4997 15.0554 13.8766 4.31027	65.3968 32.9616 13.8766 4.31031	26.3669 16.8379 14.0286 4.47382	0	-0.57394	
1.75406	1.09959e-06 2.69332e-06	25.4997 15.0554 13.8766 4.31027	65.3968 32.9616 13.8766 4.31031	65.3968 32.9616 13.8766 4.31031	0	-0.57394	
1.75506	1.09199e-06 2.67421e-06	25.4997 15.0554 13.8766 4.31027	65.3968 32.9616 13.8766 4.31031	65.3968 32.9616 13.8766 4.31031	0	-0.57394	
1.75606	 1.0852e-06 2.65713e-06	25.4997 15.0554 13.8766 4.31027	65.3968 32.9616 13.8766 4.31031	26.3669 16.8378 14.0286 4.47382	0	-0.57394	
1.75706	1.07768e-06 2.63824e-06	25.4997 15.0554 13.8766 4.31027	65.3968 32.9616 13.8766 4.31031	26.3669 16.8378 14.0286 4.47382	0	-0.57394	
1.75806	1.06997e-06 2.61888e-06	25.4997 15.0554 13.8766 4.31027	65.3968 32.9616 13.8766 4.31031	65.3968 32.9616 13.8766 4.31031	0	-0.57394	
1.75906	1.06253e-06 2.60021e-06	25.4997 15.0554 13.8766 4.31027	65.3968 32.9616 13.8767 4.31031	65.3968 32.9616 13.8767 4.31031	0	-0.57394	
1.76006	 1.0551e-06 2.58157e-06	25.4997 15.0554 13.8766 4.31027	65.3968 32.9616 13.8767 4.31031	65.3968 32.9616 13.8767 4.31031	0	-0.57394	
1.76106	1.04871e-06 2.56555e-06	25.4997 15.0554 13.8766 4.31027	65.3967 32.9616 13.8767 4.31031	26.3669 16.8378 14.0286 4.47382	0	-0.57394	
1.76206	1.04064e-06 2.54532e-06	25.4997 15.0554 13.8766 4.31028	65.3967 32.9616 13.8767 4.31031	26.3669 16.8378 14.0286 4.47382	0	-0.57394	
1.76306	1.03314e-06 2.52653e-06	25.4998 15.0554 13.8766 4.31028	65.3967 32.9616 13.8767 4.31031	65.3967 32.9616 13.8767 4.31031	0	-0.57394	
1.76406	1.02537e-06 2.50707e-06	25.4998 15.0554 13.8766 4.31028	65.3967 32.9616 13.8767 4.31031	65.3967 32.9616 13.8767 4.31031	0	-0.57394	
1.76506	1.01887e-06  2.4908e-06	25.4998 15.0554 13.8766 4.31028	65.3967 32.9616 13.8767 4.31031	26.3669 16.8378 14.0286 4.47382	0	-0.57394	
1.76606	1.01098e-06 2.47105e-06	25.4998 15.0554 13.8766 4.31028	65.3967 32.9616 13.8767 4.31031	65.3967 32.9616 13.8767 4.31031	0	-0.57394	
1.76706	1.00384e-06  2.4532e-06	25.4998 15.0555 13.8766 4.31028	65.3967 32.9616 13.8767 4.31031	65.3967 32.9616 13.8767 4.31031	0	-0.57394	
1.76806	9.96726e-07 2.43541e-06	25.4998 15.0555 13.8766 4.31028	65.3967 32.9616 13.8767 4.31031	65.3967 32.9616 13.8767 4.31031	0	-0.57394	
1.76906	9.91055e-07 2.42123e-06	25.4998 15.0555 13.8766 4.31028	65.3967 32.9616 13.8767 4.31031	26.3669 16.8378 14.0286 4.47382	0	-0.57394	
1.77007	9.83323e-07 2.40191e-06	25.4998 15.0555 13.8766 4.31028	65.3967 32.9616 13.8767 4.31031	26.3669 16.8378 14.0286 4.47382	0	-0.57394	
1.77111	9.75603e-07 2.38263e-06	25.4998 15.0555 13.8766 4.31028	65.3967 32.9616 13.8767 4.31031	26.3669 16.8378 14.0286 4.47382	0	-0.57394	
1.77207	9.68682e-07 2.36535e-06	25.4998 15.0555 13.8766 4.31028	65.3967 32.9616 13.8767 4.31031	26.3669 16.8378 14.0286 4.47382	0	-0.57394	
1.77307	9.62699e-07 2.35042e-06	25.4998 15.0555 13.8766 4.31028	65.3967 32.9616 13.8767 4.31031	26.3669 16.8378 14.0286 4.47382	0	-0.57394	
1.77411	 9.5532e-07 2.33201e-06	25.4998 15.0555 13.8766 4.31028	65.3967 32.9616 13.8767 4.31031	26.3669 16.8378 14.0286 4.47382	0	-0.57394	
1.77511	9.48468e-07 2.31492e-06	25.4998 15.0555 13.8766 4.31028	65.3967 32.9616 13.8767 4.31031	26.3669 16.8378 14.0286 4.47382	0	-0.57394	
1.77611	9.41642e-07 2.29791e-06	25.4998 15.0555 13.8766 4.31029	65.3967 32.9616 13.8767 4.31032	26.3669 16.8378 14.0286 4.47382	0	-0.57394	
1.77711	9.34843e-07 2.28097e-06	25.4998 15.0555 13.8766 4.31029	65.3967 32.9616 13.8767 4.31032	26.3669 16.8378 14.0286 4.47382	0	-0.57394	
1.77807	9.28344e-07 2.26478e-06	25.4998 15.0555 13.8766 4.31029	65.3967 32.9616 13.8767 4.31032	26.3669 16.8378 14.0286 4.47382	0	-0.57394	
1.7791	9.21417e-07 2.24753e-06	25.4998 15.0555 13.8766 4.31029	65.3967 32.9616 13.8767 4.31032	26.3669 16.8378 14.0286 4.47382	0	-0.57394	
1.78006	9.14936e-07  2.2314e-06	25.4998 15.0555 13.8766 4.31029	65.3967 32.9616 13.8767 4.31032	26.3669 16.8378 14.0286 4.47382	0	-0.57394	
1.78106	9.08307e-07 2.21491e-06	25.4998 15.0555 13.8766 4.31029	65.3967 32.9616 13.8767 4.31032	26.3669 16.8378 14.0286 4.47382	0	-0.57394	
1.78206	9.01069e-07 2.19691e-06	25.4998 15.0555 13.8766 4.31029	65.3967 32.9616 13.8767 4.31032	65.3967 32.9616 13.8767 4.31032	0	-0.57394	
1.78311	8.94916e-07 2.18161e-06	25.4998 15.0555 13.8766 4.31029	65.3967 32.9616 13.8767 4.31032	26.3669 16.8378 14.0286 4.47382	0	-0.57394	
1.78411	8.88336e-07 2.16525e-06	25.4998 15.0555 13.8766 4.31029	65.3967 32.9616 13.8767 4.31032	26.3669 16.8378 14.0286 4.47382	0	-0.57394	
1.78511	8.83082e-07  2.1522e-06	25.4998 15.0556 13.8766 4.31029	65.3967 32.9616 13.8767 4.31032	26.3669 16.8378 14.0286 4.47382	0	-0.57394	
1.78607	8.75636e-07 2.13371e-06	25.4998 15.0556 13.8766 4.31029	65.3967 32.9616 13.8767 4.31032	26.3669 16.8378 14.0286 4.47382	0	-0.57394	
1.7871	8.69549e-07 2.11859e-06	25.4998 15.0556 13.8766 4.31029	65.3967 32.9616 13.8767 4.31032	26.3669 16.8378 14.0286 4.47382	0	-0.57394	
1.78811	8.62534e-07 2.10118e-06	25.4998 15.0556 13.8766 4.31029	65.3967 32.9616 13.8767 4.31032	26.3669 16.8378 14.0286 4.47382	0	-0.57394	
1.7891	8.56174e-07 2.08541e-06	25.4998 15.0556 13.8766 4.31029	65.3967 32.9616 13.8767 4.31032	26.3669 16.8378 14.0286 4.47382	0	-0.57394	
1.79011	 8.5118e-07 2.07302e-06	25.4998 15.0556 13.8766 4.31029	65.3967 32.9616 13.8767 4.31032	26.3669 16.8378 14.0286 4.47382	0	-0.57394	
1.79111	 8.4482e-07 2.05726e-06	25.4998 15.0556 13.8766 4.31029	65.3967 32.9616 13.8767 4.31032	26.3669 16.8378 14.0286 4.47382	0	-0.57394	
1.79211	8.38637e-07 2.04193e-06	25.4998 15.0556 13.8766  4.3103	65.3967 32.9616 13.8767 4.31032	26.3669 16.8378 14.0286 4.47382	0	-0.57394	
1.79311	8.32434e-07 2.02656e-06	25.4998 15.0556 13.8766  4.3103	65.3967 32.9616 13.8767 4.31032	26.3669 16.8378 14.0286 4.47382	0	-0.57394	
1.79407	8.25172e-07 2.00858e-06	25.4998 15.0556 13.8766  4.3103	65.3967 32.9616 13.8767 4.31032	26.3669 16.8378 14.0286 4.47382	0	-0.57394	
1.79506	8.20583e-07 1.99722e-06	25.4998 15.0556 13.8766  4.3103	65.3967 32.9616 13.8767 4.31032	26.3669 16.8378 14.0286 4.47382	0	-0.57394	
1.79611	8.15043e-07 1.98351e-06	25.4998 15.0556 13.8766  4.3103	65.3967 32.9616 13.8767 4.31032	26.3669 16.8378 14.0286 4.47382	0	-0.57394	
1.79706	8.09063e-07 1.96872e-06	25.4998 15.0556 13.8766  4.3103	65.3967 32.9616 13.8767 4.31032	26.3669 16.8378 14.0287 4.47382	0	-0.57394	
1.79811	8.00571e-07 1.94772e-06	25.4998 15.0556 13.8766  4.3103	65.3967 32.9616 13.8767 4.31032	26.3669 16.8378 14.0287 4.47382	0	-0.57394	
1.79907	7.94402e-07 1.93247e-06	25.4998 15.0556 13.8766  4.3103	65.3967 32.9616 13.8767 4.31032	26.3669 16.8378 14.0287 4.47382	0	-0.57394	
1.80007	7.88608e-07 1.91815e-06	25.4998 15.0556 13.8766  4.3103	65.3967 32.9616 13.8767 4.31032	26.3669 16.8378 14.0287 4.47382	0	-0.57394	
1.80111	7.82651e-07 1.90343e-06	25.4998 15.0556 13.8766  4.3103	65.3967 32.9616 13.8767 4.31032	26.3669 16.8378 14.0287 4.47382	0	-0.57394	
1.80207	7.76302e-07 1.88776e-06	25.4999 15.0556 13.8766  4.3103	65.3967 32.9616 13.8767 4.31032	26.3669 16.8378 14.0287 4.47382	0	-0.57394	
1.80307	7.70245e-07  1.8728e-06	25.4999 15.0556 13.8766  4.3103	65.3967 32.9616 13.8767 4.31032	26.3669 16.8378 14.0287 4.47382	0	-0.57394	
1.80411	7.64961e-07 1.85977e-06	25.4999 15.0556 13.8766  4.3103	65.3967 32.9616 13.8767 4.31032	26.3669 16.8378 14.0287 4.47382	0	-0.57394	
