Timestep 	 x[2] 	 x_desired[2] 	 command torques[5] 	 f contact[2]
0.0490886	  3.2455 -0.21442	  3.27095 -0.187586	 33.3696  15.7448  3.25088 -10.3373 -1.55059	-0 -0
0.0501138	  3.24548 -0.215508	  3.27144 -0.187586	 33.3449  15.6907  3.22864  -10.348 -1.53905	-0 -0
0.0510902	  3.24546 -0.216616	  3.27196 -0.187586	 33.3195  15.6353  3.20577  -10.359 -1.52723	-0 -0
0.0520616	 3.24545 -0.21786	  3.27246 -0.187586	 33.3105  15.6345  3.21596 -10.3653 -1.51543	-0 -0
0.0530605	  3.24543 -0.218896	  3.27294 -0.187586	 33.2709  15.5316  3.16297 -10.3752  -1.5045	-0 -0
0.054057	  3.24542 -0.220068	  3.27344 -0.187586	 33.2464  15.4803  3.14192 -10.3826 -1.49296	-0 -0
0.0550576	 3.24541 -0.22126	  3.27394 -0.187586	 33.2219  15.4295  3.12109 -10.3894  -1.4814	-0 -0
0.0560578	   3.2454 -0.222474	  3.27444 -0.187586	 33.1975  15.3797  3.10063 -10.3953 -1.46986	-0 -0
0.0570593	  3.24538 -0.223708	  3.27495 -0.187586	 33.1724  15.3281  3.07945 -10.4017 -1.45802	-0 -0
0.05806	  3.24537 -0.224963	  3.27545 -0.187586	 33.1482  15.2798  3.05965 -10.4059 -1.44652	-0 -0
0.0590598	  3.24536 -0.226239	  3.27594 -0.187586	 33.1239  15.2317  3.03994 -10.4096 -1.43496	-0 -0
0.0600605	  3.24535 -0.227535	  3.27642 -0.187586	 33.1004  15.1865   3.0215 -10.4113 -1.42372	-0 -0
0.0610599	  3.24534 -0.228853	  3.27692 -0.187586	 33.0762  15.1396  3.00228 -10.4135 -1.41215	-0 -0
0.0620606	  3.24534 -0.230191	  3.27742 -0.187586	  33.052  15.0933  2.98332 -10.4149 -1.40058	-0 -0
0.063075	  3.24533 -0.231549	  3.27791 -0.187586	 33.0276  15.0473  2.96446 -10.4158 -1.38897	-0 -0
0.0640982	  3.24532 -0.232929	  3.27841 -0.187586	 33.0035  15.0023  2.94603 -10.4157 -1.37741	-0 -0
0.0650596	  3.24532 -0.234187	  3.27892 -0.187586	 32.9631  14.9036  2.89498 -10.4191 -1.36598	-0 -0
0.0660971	  3.24531 -0.235748	   3.2794 -0.187586	 32.9552  14.9143   2.9102 -10.4138 -1.35414	-0 -0
0.0670951	  3.24531 -0.237334	  3.27991 -0.187586	 32.9462  14.9218  2.92383 -10.4093 -1.34195	-0 -0
0.068096	  3.2453 -0.23865	  3.28041 -0.187586	 32.9058  14.8243  2.87299 -10.4101  -1.3307	-0 -0
0.0690871	   3.2453 -0.240131	  3.28041 -0.187586	 32.9058  14.8243  2.87299 -10.4101  -1.3307	-0 -0
0.0700885	   3.2453 -0.240131	   3.2809 -0.187586	 32.8816  14.7817  2.85554 -10.4067 -1.31907	-0 -0
0.0710793	   3.2453 -0.242239	  3.28156 -0.187586	 32.9131  14.9312  2.95855 -10.3989 -1.30331	-0 -0
0.0720877	   3.2453 -0.243923	  3.28213 -0.187586	 32.8999   14.929  2.96717 -10.3959 -1.29004	-0 -0
0.0730856	   3.2453 -0.245476	  3.28273 -0.187586	 32.8999   14.929  2.96717 -10.3959 -1.29004	-0 -0
0.0740825	  3.24531 -0.247842	  3.28273 -0.187586	 32.8686  14.8665  2.93968 -10.3982 -1.27663	-0 -0
0.0750794	  3.24531 -0.248641	   3.2838 -0.187586	 32.8106  14.7565  2.89062 -10.3925 -1.25207	-0 -0
0.0760858	  3.24531 -0.250253	  3.28419 -0.187586	 32.7874  14.7172  2.87243 -10.3796 -1.24223	-0 -0
0.0770854	 3.24532 -0.25205	  3.28464 -0.187586	 32.7783   14.728  2.88582 -10.3656 -1.23097	-0 -0
0.0780861	  3.24532 -0.253206	  3.28509 -0.187586	 32.7061  14.5273  2.77051 -10.3663 -1.22118	-0 -0
0.0790857	  3.24532 -0.254539	  3.28555 -0.187586	  32.649  14.3778  2.68657 -10.3637  -1.2108	-0 -0
0.080086	  3.24533 -0.256055	    3.286 -0.187586	 32.6089  14.2863  2.63759 -10.3556 -1.20018	-0 -0
0.0810871	  3.24535 -0.259479	  3.28645 -0.187586	 32.5859  14.2531  2.62382 -10.3424 -1.18915	-0 -0
0.0820891	 3.24536 -0.26122	  3.28689 -0.187586	 32.5633  14.2218   2.6111 -10.3284 -1.17813	-0 -0
0.0830807	  3.24537 -0.262982	  3.28734 -0.187586	 32.5408  14.1913   2.5987 -10.3135 -1.16715	-0 -0
0.084071	  3.24538 -0.264762	   3.2878 -0.187586	 32.5172  14.1583  2.58519 -10.2996 -1.15576	-0 -0
0.0850736	  3.24539 -0.266744	  3.28878 -0.187586	   32.49  14.1153  2.56737 -10.2906 -1.14286	-0 -0
0.0860738	  3.24541 -0.268565	  3.28927 -0.187586	   32.46  14.1082  2.57502  -10.254 -1.12004	-0 -0
0.0870728	  3.24542 -0.270221	  3.28976 -0.187586	 32.4194  14.0193  2.52767 -10.2435 -1.10863	-0 -0
0.0880732	  3.24544 -0.272267	  3.29026 -0.187586	 32.4194  14.0193  2.52767 -10.2435 -1.10863	-0 -0
0.0890692	  3.24545 -0.273957	  3.29075 -0.187586	 32.3708   13.953  2.50027 -10.2118 -1.08501	-0 -0
0.090068	  3.24547 -0.275854	  3.29123 -0.187586	 32.3469   13.922   2.4876 -10.1947 -1.07324	-0 -0
0.0911021	  3.24549 -0.277963	  3.29173 -0.187586	 32.3469   13.922   2.4876 -10.1947 -1.07324	-0 -0
0.092076	  3.24551 -0.279899	  3.29173 -0.187586	  32.339  13.9457  2.50808 -10.1727 -1.06102	-0 -0
0.0931018	  3.24553 -0.281659	  3.29272 -0.187586	 32.2725  13.8237  2.44658 -10.1424 -1.03746	-0 -0
0.0940968	 3.24556 -0.28383	  3.29321 -0.187586	 32.2649  13.8493  2.46782 -10.1184 -1.02526	-0 -0
0.0950933	  3.24558 -0.285824	  3.29369 -0.187586	 32.2412  13.8206  2.45578 -10.0978 -1.01374	-0 -0
0.096093	  3.24561 -0.287836	  3.29417 -0.187586	 32.2169  13.7907  2.44322 -10.0774 -1.00199	-0 -0
0.0970936	  3.24563 -0.289867	  3.29466 -0.187586	  32.1926   13.7613   2.43084  -10.0565 -0.990225	-0 -0
0.0980972	  3.24566 -0.291712	  3.29514 -0.187586	  32.1523    13.678   2.38571  -10.0395 -0.978985	-0 -0
0.0990653	  3.24569 -0.293778	  3.29563 -0.187586	  32.1286   13.6513   2.37478  -10.0172 -0.967225	-0 -0
0.100102	  3.24572 -0.295863	  3.29612 -0.187586	  32.1048   13.6248    2.3639  -9.99461 -0.955424	-0 -0
0.1011	  3.24575 -0.298178	  3.29662 -0.187586	  32.0972   13.6535    2.3864   -9.9668 -0.943114	-0 -0
0.102064	  3.24599 -0.299859	  3.29711 -0.187586	 33.9948  14.7353   -6.862  8.16202 -6.20155	6.04087e-13 -0.00232437
0.103063	 3.24722 -0.29986	  3.29758 -0.187586	 34.1114  15.3022 -6.41698  8.16343 -6.14197	4.96138e-12  -0.0255259
0.104063	 3.24865 -0.29986	  3.29806 -0.187586	 34.2539  15.9933 -5.85453  8.13895 -6.06534	9.03371e-12   -0.070976
0.105063	  3.24992 -0.299861	  3.29855 -0.187586	 34.3771  16.5906 -5.36917   8.1147 -5.99621	1.285e-11 -0.135889
0.106063	   3.2512 -0.299861	  3.29903 -0.187586	 34.5013  17.1871 -4.88462   8.0911 -5.92765	1.66393e-11   -0.218452
0.107063	  3.25246 -0.299861	  3.29952 -0.187586	34.6246 17.7745 -4.4075 8.06809 -5.8602	2.03164e-11   -0.316932
0.108063	  3.25357 -0.299861	      3.3 -0.187586	 34.7292  18.2757 -4.00162   8.0451 -5.79983	2.46553e-11   -0.429684
0.109065	  3.25493 -0.299861	  3.30049 -0.187586	 34.8714  18.9337   -3.467  8.02368 -5.72828	2.83706e-11   -0.555145
0.110062	 3.25611 -0.29986	  3.30097 -0.187586	 34.9886  19.4778 -3.02648  8.00195   -5.666	3.13878e-11   -0.691836
0.111108	 3.25733 -0.29986	  3.30097 -0.187586	 34.9886  19.4778 -3.02648  8.00195   -5.666	3.32574e-11   -0.838371
0.112061	  3.25852 -0.299859	  3.30193 -0.187586	 35.2387  20.6193 -2.10257  7.96044 -5.53934	3.35979e-11   -0.993429
0.113094	  3.25976 -0.299858	  3.30243 -0.187586	 35.2387  20.6193 -2.10257  7.96044 -5.53934	3.29291e-11    -1.15578
0.114095	  3.26088 -0.299857	  3.30292 -0.187586	 35.4889  21.7378 -1.19832  7.91989 -5.41668	3.12743e-11    -1.32429
0.115059	   3.2622 -0.299855	  3.30344 -0.187586	 35.4889  21.7378 -1.19832  7.91989 -5.41668	2.82842e-11    -1.49789
0.116087	  3.26321 -0.299853	  3.30387 -0.187586	  35.7429   22.8499 -0.302132    7.8827  -5.29795	2.40946e-11    -1.67557
0.117095	  3.26435 -0.299851	  3.30434 -0.187586	   35.87  23.3987 0.139684  7.86444 -5.24004	1.95673e-11     -1.8564
0.118094	  3.26548 -0.299849	  3.30482 -0.187586	 35.9975  23.9442 0.578512  7.84631 -5.18298	1.49332e-11     -2.0395
0.119094	   3.2666 -0.299846	   3.3053 -0.187586	 36.1254  24.4865  1.01441  7.82849 -5.12681	9.82732e-12    -2.22409
0.120094	  3.26763 -0.299843	  3.30579 -0.187586	 36.2417  24.9786  1.40873  7.81025 -5.07496	5.0997e-12   -2.40943
0.121093	  3.26882 -0.299839	  3.30626 -0.187586	 36.3822  25.5622  1.87818   7.7937 -5.01688	9.45911e-13    -2.59484
0.122093	  3.26991 -0.299835	  3.30674 -0.187586	 36.5115  26.0965   2.3065  7.77665 -4.96327	-2.89607e-12      -2.7797
0.123093	  3.27099 -0.299831	  3.30722 -0.187586	 36.6408  26.6264  2.73086  7.75983 -4.91063	-6.13709e-12     -2.96345
0.124059	  3.27206 -0.299826	   3.3077 -0.187586	 36.7698  27.1511  3.15105   7.7432 -4.85876	-9.08832e-12     -3.14559
0.125094	  3.27313 -0.299821	  3.30818 -0.187586	 36.8996  27.6745  3.56953  7.72677 -4.80784	-1.22061e-11     -3.32566
0.126114	  3.27418 -0.299815	  3.30866 -0.187586	 37.0301  28.1964  3.98672  7.71036 -4.75754	-1.48438e-11     -3.50325
0.127096	  3.27526 -0.299809	  3.30916 -0.187586	 37.1637  28.7269  4.41162  7.69342 -4.70671	-1.68132e-11     -3.67799
0.128102	  3.27615 -0.299803	  3.30962 -0.187586	 37.2751  29.1683  4.76106  7.67665 -4.66408	-1.83334e-11     -3.84957
0.129124	  3.27713 -0.299798	  3.30962 -0.187586	 37.2751  29.1683  4.76106  7.67665 -4.66408	-2.04439e-11     -4.01603
0.13012	  3.27824 -0.299804	  3.31057 -0.187586	 37.3931  29.6498  5.17139  7.61212 -4.60542	-2.26978e-11     -4.16108
0.131125	  3.27923 -0.299824	  3.31105 -0.187586	 37.5215  30.1979  5.68683  7.46455 -4.51905	-2.46995e-11     -4.27975
0.132117	 3.28018 -0.29983	  3.31105 -0.187586	 37.6362  30.6866  6.14509  7.32764 -4.44124	-2.67843e-11     -4.39019
0.133075	  3.28125 -0.299838	  3.31152 -0.187586	 37.7789  31.1739  6.43762  7.48129 -4.44272	-2.81039e-11     -4.50084
0.134118	  3.28213 -0.299843	  3.31203 -0.187586	 37.9179  31.7009  6.85767  7.46788 -4.39588	-2.86635e-11      -4.6113
0.135078	  3.28309 -0.299851	  3.31247 -0.187586	  38.034  32.1415  7.20473  7.45401 -4.35697	-2.84173e-11     -4.71955
0.136074	  3.28413 -0.299863	  3.31295 -0.187586	 38.1537  32.6139  7.61481  7.37764 -4.29867	-2.80605e-11     -4.81725
