Timestep 	 x[2] 	 x_desired[2] 	 command torques[5] 	 f contact[2]
0.680108	  3.44252 -0.299604	  3.44444 -0.187586	 39.0201  34.0043  10.8782 0.600382 -4.51611	2.53975e-13    -9.97709
0.681108	  3.44246 -0.299603	  3.44437 -0.187586	 39.0177  34.0016  10.8772 0.599507 -4.51583	3.03292e-13    -9.97747
0.682068	   3.4424 -0.299603	   3.4443 -0.187586	  39.016  34.0009  10.8768 0.599707 -4.51572	3.61673e-13    -9.97784
0.683094	  3.44234 -0.299602	  3.44422 -0.187586	 39.0148  34.0015  10.8768 0.600501  -4.5157	4.46463e-13    -9.97821
0.684095	  3.44227 -0.299602	  3.44415 -0.187586	 39.0116  33.9965  10.8755 0.598355 -4.51516	4.79999e-13    -9.97857
0.685104	   3.4422 -0.299603	  3.44407 -0.187586	 39.0078  33.9911  10.8759 0.592488 -4.51399	4.86062e-13    -9.97894
0.686062	  3.44214 -0.299603	    3.444 -0.187586	 39.0078  33.9911  10.8759 0.592488 -4.51399	5.03925e-13     -9.9793
0.687093	  3.44207 -0.299603	  3.44392 -0.187586	 39.0034  33.9865  10.8745 0.591021 -4.51338	5.39677e-13    -9.97966
0.688092	    3.442 -0.299603	  3.44384 -0.187586	 39.0015  33.9849  10.8738 0.590575 -4.51311	5.7672e-13   -9.98002
0.689062	  3.44194 -0.299602	  3.44376 -0.187586	 39.0008  33.9868  10.8746 0.592042 -4.51315	6.1503e-13   -9.98038
0.690093	  3.44186 -0.299602	  3.44368 -0.187586	 38.9972  33.9806  10.8727 0.589061 -4.51242	6.62226e-13    -9.98074
0.69109	  3.44179 -0.299602	   3.4436 -0.187586	 38.9951  33.9784  10.8723 0.588238 -4.51204	7.06816e-13    -9.98109
0.692062	  3.44172 -0.299601	  3.44351 -0.187586	 38.9947  33.9809  10.8732 0.589932  -4.5121	6.9718e-13   -9.98145
0.693092	  3.44164 -0.299601	  3.44343 -0.187586	  38.991  33.9746  10.8716 0.586806  -4.5113	6.14092e-13     -9.9818
0.694095	  3.44157 -0.299603	  3.44335 -0.187586	 38.9802   33.975  10.9251 0.496177 -4.49588	5.75371e-13    -9.98215
0.695093	  3.44148 -0.299603	  3.44326 -0.187586	 38.9866  33.9688  10.8703 0.583196 -4.51044	5.35833e-13    -9.98252
0.696062	  3.44141 -0.299603	  3.44317 -0.187586	 38.9863  33.9717  10.8714 0.585084  -4.5105	4.36669e-13    -9.98292
0.697093	  3.44132 -0.299603	  3.44308 -0.187586	 38.9828  33.9656  10.8698 0.581988 -4.50967	2.88037e-13    -9.98333
0.69809	  3.44124 -0.299602	  3.44299 -0.187586	 38.9811  33.9645  10.8697 0.581534  -4.5093	1.45744e-13    -9.98372
0.699062	  3.44116 -0.299602	   3.4429 -0.187586	 38.9811  33.9645  10.8697 0.581534  -4.5093	1.38277e-14    -9.98411
0.700095	  3.44107 -0.299602	   3.4428 -0.187586	 38.9775  33.9617  10.8697 0.580279 -4.50846	-1.05694e-13     -9.98449
0.701093	  3.44098 -0.299602	  3.44271 -0.187586	 38.9755  33.9598  10.8697 0.579291 -4.50795	-1.88137e-13     -9.98487
0.702062	  3.44091 -0.299601	  3.44261 -0.187586	 38.9757  33.9636   10.871 0.581423 -4.50801	-2.78018e-13     -9.98524
0.703105	  3.44082 -0.299601	  3.44251 -0.187586	 38.9729  33.9595  10.8704 0.579148 -4.50726	-4.33716e-13      -9.9856
0.704093	3.44073 -0.2996	  3.44241 -0.187586	 38.9723  33.9613  10.8715 0.580145 -4.50709	-5.86146e-13     -9.98595
0.705105	3.44063 -0.2996	  3.44231 -0.187586	 38.9701  33.9589  10.8714 0.578735 -4.50647	-7.15599e-13      -9.9863
0.706063	  3.44055 -0.299601	  3.44221 -0.187586	 38.9681  33.9579  10.8738 0.574145 -4.50533	-8.3253e-13    -9.98664
0.707094	  3.44044 -0.299601	  3.44211 -0.187586	  38.965  33.9526   10.873 0.571263 -4.50443	-9.19138e-13     -9.98698
0.708095	  3.44035 -0.299601	  3.44201 -0.187586	 38.9634  33.9516  10.8732 0.570675 -4.50395	-9.50292e-13     -9.98731
0.709062	  3.44026 -0.299601	   3.4419 -0.187586	 38.9635  33.9552  10.8749 0.572619 -4.50392	-9.71467e-13     -9.98764
0.710096	  3.44016 -0.299601	   3.4418 -0.187586	 38.9605  33.9502  10.8738 0.569761 -4.50302	-1.03609e-12     -9.98797
0.711093	  3.44006 -0.299601	  3.44169 -0.187586	 38.9588  33.9489  10.8742  0.56893 -4.50246	-1.10257e-12     -9.98829
0.712064	  3.43996 -0.299601	  3.44158 -0.187586	 38.9586  33.9515  10.8756 0.570236 -4.50229	-1.15433e-12     -9.98861
0.713095	3.43985 -0.2996	  3.44147 -0.187586	 38.9559  33.9474  10.8751 0.567792 -4.50142	-1.21547e-12     -9.98893
0.714104	3.43976 -0.2996	  3.44136 -0.187586	 38.9553  33.9487  10.8761 0.568324 -4.50111	-1.26564e-12     -9.98925
0.715064	  3.43966 -0.299602	  3.44125 -0.187586	 38.9546  33.9509  10.8793 0.566287 -4.50033	-1.34647e-12     -9.98956
0.716103	  3.43955 -0.299602	  3.44113 -0.187586	 38.9546  33.9509  10.8793 0.566287 -4.50033	-1.48231e-12     -9.98986
0.71711	  3.43944 -0.299602	  3.44102 -0.187586	 38.9504  33.9457  10.8794 0.562981 -4.49883	-1.64027e-12     -9.99017
0.7181	  3.43934 -0.299602	   3.4409 -0.187586	 38.9511  33.9508  10.8813 0.565633 -4.49889	-1.76249e-12     -9.99047
0.719107	  3.43922 -0.299601	  3.44079 -0.187586	 38.9472  33.9432    10.88 0.561178  -4.4976	-1.85089e-12     -9.99078
0.7201	  3.43911 -0.299601	  3.44067 -0.187586	38.9462 33.9435 10.8809 0.56104 -4.4971	-1.94183e-12     -9.99108
0.721065	  3.43899 -0.299601	  3.44055 -0.187586	38.9462 33.9435 10.8809 0.56104 -4.4971	-2.03878e-12     -9.99138
0.733279	  3.43899 -0.299601	  3.44055 -0.187586	 38.9445  33.9418  10.8815 0.559774 -4.49637	-2.08517e-12     -9.99153
0.733395	  3.43899 -0.299601	  3.44055 -0.187586	 38.9445  33.9418  10.8815 0.559774 -4.49637	-2.08517e-12     -9.99153
0.733473	  3.43899 -0.299601	  3.44055 -0.187586	 38.9445  33.9418  10.8815 0.559774 -4.49637	-2.08517e-12     -9.99153
0.733565	  3.43899 -0.299601	  3.44055 -0.187586	 38.9445  33.9418  10.8815 0.559774 -4.49637	-2.08517e-12     -9.99153
0.733641	  3.43899 -0.299601	  3.44055 -0.187586	 38.9445  33.9418  10.8815 0.559774 -4.49637	-2.08517e-12     -9.99153
0.733716	  3.43899 -0.299601	  3.44055 -0.187586	 38.9445  33.9418  10.8815 0.559774 -4.49637	-2.08517e-12     -9.99153
0.733791	  3.43899 -0.299601	  3.44055 -0.187586	 38.9445  33.9418  10.8815 0.559774 -4.49637	-2.08517e-12     -9.99153
0.733865	  3.43899 -0.299601	  3.44055 -0.187586	 38.9445  33.9418  10.8815 0.559774 -4.49637	-2.08517e-12     -9.99153
0.73394	  3.43899 -0.299601	  3.44055 -0.187586	 38.9445  33.9418  10.8815 0.559774 -4.49637	-2.08517e-12     -9.99153
0.734015	  3.43899 -0.299601	  3.44055 -0.187586	 38.9445  33.9418  10.8815 0.559774 -4.49637	-2.08517e-12     -9.99153
0.734091	  3.43899 -0.299601	  3.44055 -0.187586	 38.9445  33.9418  10.8815 0.559774 -4.49637	-2.08517e-12     -9.99153
0.734166	  3.43899 -0.299601	  3.44055 -0.187586	 38.9445  33.9418  10.8815 0.559774 -4.49637	-2.08517e-12     -9.99153
0.734242	  3.43899 -0.299601	  3.44055 -0.187586	 38.9445  33.9418  10.8815 0.559774 -4.49637	-2.08517e-12     -9.99153
0.737018	  3.43899 -0.299601	  3.44055 -0.187586	 38.9445  33.9418  10.8815 0.559774 -4.49637	-2.08517e-12     -9.99153
0.737131	  3.43899 -0.299601	  3.44055 -0.187586	 38.9445  33.9418  10.8815 0.559774 -4.49637	-2.08517e-12     -9.99153
0.737212	  3.43899 -0.299601	  3.44055 -0.187586	 38.9445  33.9418  10.8815 0.559774 -4.49637	-2.08517e-12     -9.99153
0.744703	  3.43631 -0.299802	  3.43781 -0.187586	 38.8826  33.7847  10.8571 0.515259 -4.48453	5.63193e-13    -10.0035
0.744777	  3.43631 -0.299802	  3.43781 -0.187586	 38.8826  33.7847  10.8571 0.515259 -4.48453	5.63193e-13    -10.0035
0.744826	  3.43631 -0.299802	  3.43781 -0.187586	 38.8826  33.7847  10.8571 0.515259 -4.48453	5.63193e-13    -10.0035
0.744878	  3.43631 -0.299802	  3.43781 -0.187586	 38.8826  33.7847  10.8571 0.515259 -4.48453	5.63193e-13    -10.0035
0.744929	  3.43631 -0.299802	  3.43781 -0.187586	 38.8826  33.7847  10.8571 0.515259 -4.48453	5.63193e-13    -10.0035
0.744979	  3.43631 -0.299802	  3.43781 -0.187586	 38.8826  33.7847  10.8571 0.515259 -4.48453	5.63193e-13    -10.0035
0.745028	  3.43631 -0.299802	  3.43781 -0.187586	 38.8826  33.7847  10.8571 0.515259 -4.48453	5.63193e-13    -10.0035
0.745078	  3.43631 -0.299802	  3.43781 -0.187586	 38.8826  33.7847  10.8571 0.515259 -4.48453	5.63193e-13    -10.0035
0.746276	  3.43576 -0.299801	  3.43713 -0.187586	 38.8956  33.8379  10.8856 0.536535 -4.48582	5.63193e-13    -10.0035
0.750111	  3.43553 -0.299801	  3.43654 -0.187586	 38.9296   33.959  10.8813 0.605175 -4.49693	1.04126e-12    -10.0045
0.750182	  3.43553 -0.299801	  3.43654 -0.187586	 38.9296   33.959  10.8813 0.605175 -4.49693	1.04126e-12    -10.0045
0.750209	  3.43553 -0.299801	  3.43654 -0.187586	 38.9296   33.959  10.8813 0.605175 -4.49693	1.04126e-12    -10.0045
0.750232	  3.43553 -0.299801	  3.43654 -0.187586	 38.9296   33.959  10.8813 0.605175 -4.49693	1.04126e-12    -10.0045
0.751062	3.43536 -0.2998	  3.43641 -0.187586	 38.9199  33.9372  10.8693 0.591454 -4.49352	1.2941e-12    -10.005
0.752061	  3.43485 -0.299798	  3.43627 -0.187586	 38.8663   33.794  10.8261 0.508689 -4.47596	2.03018e-12    -10.0064
0.75306	  3.43465 -0.299798	  3.43607 -0.187586	  38.863  33.7925   10.817 0.507026 -4.47457	1.95554e-12    -10.0067
0.754058	  3.43449 -0.299797	  3.43588 -0.187586	 38.8663  33.8088  10.8089 0.517389 -4.47597	1.87004e-12    -10.0069
0.755064	  3.43434 -0.299796	  3.43576 -0.187586	 38.8591  33.7938  10.8027 0.506697 -4.47275	1.72929e-12    -10.0071
0.756058	  3.43417 -0.299795	   3.4356 -0.187586	 38.8577  33.7927  10.8058 0.503585 -4.47117	1.59414e-12    -10.0072
0.757089	  3.43401 -0.299795	  3.43542 -0.187586	 38.8599  33.8016   10.812 0.506239 -4.47072	1.42698e-12    -10.0073
0.758061	  3.43387 -0.299794	  3.43527 -0.187586	 38.8601  33.8048  10.8151 0.506119 -4.46985	1.22439e-12    -10.0073
0.759074	  3.43369 -0.299793	  3.43527 -0.187586	 38.8601  33.8048  10.8151 0.506119 -4.46985	1.09639e-12    -10.0073
0.760079	  3.43369 -0.299793	   3.4351 -0.187586	 38.8595  33.8057  10.8189 0.504139 -4.46847	1.03337e-12    -10.0073
0.761077	  3.43354 -0.299792	  3.43491 -0.187586	 38.8637  33.8203  10.8271 0.509982 -4.46862	1.02116e-12    -10.0073
0.762078	  3.43338 -0.299791	  3.43473 -0.187586	 38.8663  33.8304  10.8336 0.513357 -4.46831	1.1146e-12   -10.0072
0.763079	  3.43322 -0.299791	  3.43456 -0.187586	 38.8677  33.8371  10.8388 0.514787 -4.46763	1.13279e-12    -10.0072
0.764067	  3.43288 -0.299789	  3.43438 -0.187586	 38.8683  33.8413  10.8431 0.514926 -4.46672	1.16265e-12    -10.0071
0.765065	  3.43272 -0.299788	  3.43423 -0.187586	 38.8661  33.8378  10.8444 0.510835 -4.46501	1.25458e-12     -10.007
0.766109	  3.43255 -0.299787	  3.43391 -0.187586	 38.8629   33.831  10.8441 0.505099 -4.46303	1.38106e-12    -10.0069
0.767097	  3.43238 -0.299786	  3.43374 -0.187586	  38.864  33.8365  10.8486 0.506115 -4.46229	1.45109e-12    -10.0067
0.768074	  3.43226 -0.299785	  3.43374 -0.187586	 38.8645  33.8405  10.8528 0.506174 -4.46135	1.44497e-12    -10.0067
0.769063	  3.43206 -0.299784	  3.43338 -0.187586	 38.8707  33.8607   10.861 0.515871 -4.46243	1.35343e-12    -10.0065
0.770085	  3.43187 -0.299782	   3.4332 -0.187586	 38.8674  33.8534  10.8623 0.509261 -4.46008	1.27279e-12    -10.0064
0.771094	  3.43169 -0.299781	  3.43302 -0.187586	  38.866   33.852  10.8649 0.506223 -4.45849	1.16218e-12    -10.0062
0.772262	 3.43152 -0.29978	  3.43284 -0.187586	 38.8669   33.859  10.8728 0.505902  -4.4565	1.08396e-12    -10.0061
0.773092	  3.43135 -0.299779	  3.43266 -0.187586	 38.8669   33.859  10.8728 0.505902  -4.4565	9.83132e-13     -10.006
0.774089	  3.43116 -0.299777	  3.43248 -0.187586	  38.868  33.8666  10.8806 0.506035  -4.4546	8.46972e-13    -10.0059
0.775086	    3.431 -0.299776	  3.43229 -0.187586	 38.8703  33.8753  10.8857 0.509015 -4.45427	7.23717e-13    -10.0057
0.776084	   3.4308 -0.299775	  3.43211 -0.187586	 38.8688  33.8732  10.8881 0.505671  -4.4526	6.46146e-13    -10.0056
0.777086	  3.43062 -0.299774	  3.43192 -0.187586	 38.8693  33.8768   10.892 0.505632 -4.45162	6.31771e-13    -10.0055
0.778098	  3.43046 -0.299772	  3.43173 -0.187586	 38.8718  33.8859  10.8972  0.50885 -4.45133	6.11796e-13    -10.0055
0.779094	  3.43025 -0.299771	  3.43155 -0.187586	 38.8703  33.8837  10.8995 0.505443 -4.44964	6.34843e-13    -10.0054
0.780093	  3.43007 -0.299769	  3.43136 -0.187586	 38.8707  33.8871  10.9032 0.505341 -4.44864	7.28801e-13    -10.0053
0.781094	  3.42988 -0.299768	  3.43116 -0.187586	 38.8712  33.8905   10.907  0.50523 -4.44764	8.54374e-13    -10.0053
0.782095	  3.42969 -0.299766	  3.43097 -0.187586	 38.8718  33.8943  10.9108 0.505337 -4.44668	9.72424e-13    -10.0052
0.783095	   3.4295 -0.299765	  3.43077 -0.187586	 38.8723  33.8976  10.9148 0.505081 -4.44561	1.10215e-12    -10.0052
0.784092	   3.4293 -0.299763	  3.43057 -0.187586	 38.8723  33.8995  10.9181 0.504117 -4.44441	1.30439e-12    -10.0052
0.785056	  3.42912 -0.299762	  3.43038 -0.187586	 38.8737  33.9056  10.9223 0.505724 -4.44379	1.54616e-12    -10.0051
0.786089	 3.42893 -0.29976	  3.43019 -0.187586	 38.8735  33.9068  10.9252 0.504413 -4.44254	1.77792e-12    -10.0051
0.787099	  3.42872 -0.299759	  3.42998 -0.187586	 38.8737  33.9093  10.9291 0.503702 -4.44135	1.95461e-12    -10.0052
0.788097	  3.42854 -0.299757	  3.42978 -0.187586	  38.876  33.9178  10.9342 0.506602 -4.44097	2.08275e-12    -10.0052
0.789057	  3.42835 -0.299755	  3.42957 -0.187586	 38.8775  33.9238  10.9389 0.507899 -4.44021	2.16007e-12    -10.0052
0.790102	  3.42815 -0.299754	  3.42938 -0.187586	 38.8765  33.9228  10.9408 0.505453 -4.43875	2.20877e-12    -10.0053
0.791097	  3.42797 -0.299752	  3.42918 -0.187586	 38.8779  33.9287  10.9447 0.507025 -4.43813	2.22534e-12    -10.0053
0.792098	 3.42777 -0.29975	  3.42898 -0.187586	 38.8783  33.9317  10.9482 0.506756 -4.43707	2.24998e-12    -10.0054
0.793097	  3.42759 -0.299749	  3.42877 -0.187586	 38.8808  33.9406  10.9534   0.5099 -4.43674	2.34516e-12    -10.0055
0.794058	  3.42735 -0.299747	  3.42857 -0.187586	 38.8772  33.9319  10.9536 0.502835 -4.43422	2.44648e-12    -10.0056
0.795057	  3.42714 -0.299745	  3.42836 -0.187586	 38.8781  33.9362  10.9576 0.503317  -4.4333	2.52954e-12    -10.0057
0.796057	  3.42692 -0.299743	  3.42813 -0.187586	 38.8788  33.9398  10.9621 0.503089 -4.43214	2.48262e-12    -10.0058
0.79711	  3.42674 -0.299741	  3.42794 -0.187586	 38.8799  33.9447  10.9652 0.504232 -4.43147	2.36713e-12    -10.0059
0.798162	  3.42654 -0.299739	  3.42773 -0.187586	 38.8802  33.9473  10.9683 0.503803 -4.43039	2.23376e-12    -10.0061
0.799153	  3.42631 -0.299737	  3.42752 -0.187586	 38.8787  33.9446  10.9702 0.500284 -4.42861	2.04635e-12    -10.0062
0.800058	  3.42609 -0.299735	   3.4273 -0.187586	 38.8787  33.9446  10.9702 0.500284 -4.42861	1.86914e-12    -10.0064
0.801092	  3.42589 -0.299733	  3.42708 -0.187586	 38.8802  33.9519  10.9776 0.500457 -4.42658	1.69441e-12    -10.0065
0.802109	  3.42569 -0.299731	  3.42687 -0.187586	  38.881  33.9558  10.9811  0.50083 -4.42567	1.46155e-12    -10.0067
0.803058	  3.42546 -0.299729	  3.42665 -0.187586	  38.881  33.9558  10.9811  0.50083 -4.42567	1.13308e-12    -10.0069
0.804092	  3.42523 -0.299727	  3.42642 -0.187586	 38.8816  33.9606  10.9883 0.499424 -4.42322	8.44396e-13    -10.0071
0.805109	  3.42502 -0.299725	   3.4262 -0.187586	 38.8821  33.9635  10.9916 0.499119 -4.42212	5.34813e-13    -10.0073
0.806097	  3.42483 -0.299723	    3.426 -0.187586	 38.8829  33.9673  10.9945 0.499639  -4.4213	2.32661e-13    -10.0075
0.807093	  3.42464 -0.299722	  3.42577 -0.187586	 38.8868  33.9802  11.0009 0.505055 -4.42143	-8.60163e-15     -10.0077
0.80809	  3.42439 -0.299719	  3.42555 -0.187586	 38.8843  33.9744  11.0017 0.499735 -4.41924	-1.92314e-13     -10.0079
0.809081	  3.42414 -0.299717	  3.42531 -0.187586	 38.8836  33.9737  11.0047 0.497217 -4.41757	-3.91628e-13     -10.0081
0.810094	  3.42394 -0.299715	   3.4251 -0.187586	 38.8847  33.9783   11.008 0.498035 -4.41677	-5.65626e-13     -10.0084
0.811089	   3.4237 -0.299712	  3.42486 -0.187586	 38.8849  33.9802  11.0114 0.497071 -4.41547	-6.53247e-13     -10.0086
0.812088	 3.42351 -0.29971	  3.42465 -0.187586	 38.8861  33.9853  11.0148 0.498214 -4.41475	-6.94961e-13     -10.0088
0.813114	   3.4233 -0.299708	  3.42442 -0.187586	 38.8883  33.9928  11.0195 0.500593 -4.41422	-6.81865e-13     -10.0091
0.814058	  3.42306 -0.299706	  3.42419 -0.187586	 38.8882  33.9938  11.0224 0.499208 -4.41286	-6.14123e-13     -10.0093
0.81507	  3.42282 -0.299703	  3.42394 -0.187586	 38.8882  33.9938  11.0224 0.499208 -4.41286	-5.56617e-13     -10.0096
0.816074	  3.42259 -0.299701	  3.42372 -0.187586	 38.8877  33.9951  11.0279  0.49595 -4.41001	-5.42842e-13     -10.0098
0.817058	  3.42239 -0.299699	   3.4235 -0.187586	 38.8905  34.0045  11.0327 0.499548  -4.4098	-5.21626e-13     -10.0101
0.818097	  3.42214 -0.299697	  3.42327 -0.187586	 38.8883  33.9995  11.0335 0.494793 -4.40772	-4.38333e-13     -10.0104
0.819105	   3.4219 -0.299694	  3.42303 -0.187586	 38.8882  34.0003  11.0362  0.49332 -4.40634	-3.8534e-13    -10.0106
0.820098	   3.4217 -0.299692	  3.42279 -0.187586	 38.8918  34.0118  11.0434 0.497049 -4.40592	-3.87015e-13     -10.0109
0.821096	  3.42144 -0.299689	  3.42256 -0.187586	 38.8897  34.0073   11.043 0.493492 -4.40427	-3.78045e-13     -10.0112
0.822097	  3.42121 -0.299687	  3.42232 -0.187586	 38.8902  34.0099  11.0462 0.493035  -4.4031	-4.10446e-13     -10.0114
0.823099	  3.42099 -0.299685	  3.42208 -0.187586	 38.8926  34.0179  11.0511 0.495616 -4.40259	-4.69417e-13     -10.0117
0.824103	  3.42076 -0.299682	  3.42184 -0.187586	 38.8937  34.0224  11.0549 0.496266 -4.40167	-4.75984e-13      -10.012
0.825099	   3.4205 -0.299679	  3.42159 -0.187586	  38.892  34.0185  11.0561 0.492141 -4.39969	-4.96555e-13     -10.0123
0.8261	  3.42026 -0.299677	  3.42136 -0.187586	 38.8921  34.0198  11.0587 0.491014 -4.39839	-5.52264e-13     -10.0125
0.827098	  3.42003 -0.299675	  3.42111 -0.187586	 38.8944  34.0277  11.0636 0.493557 -4.39786	-6.29835e-13     -10.0128
0.828099	   3.4198 -0.299672	  3.42086 -0.187586	 38.8956  34.0323  11.0673 0.494216 -4.39693	-7.02439e-13     -10.0131
0.829099	  3.41953 -0.299669	  3.42062 -0.187586	 38.8935  34.0271  11.0679 0.489451 -4.39482	-7.12713e-13     -10.0134
0.830097	   3.4193 -0.299667	  3.42037 -0.187586	 38.8954  34.0339  11.0723 0.491372 -4.39417	-6.79404e-13     -10.0137
0.8311	  3.41908 -0.299664	  3.42012 -0.187586	  38.898  34.0423  11.0774 0.494194  -4.3937	-6.43498e-13     -10.0139
0.832059	   3.4188 -0.299661	  3.41987 -0.187586	 38.8951  34.0349  11.0774 0.488098 -4.39127	-6.00099e-13     -10.0142
0.833099	  3.41855 -0.299659	  3.41963 -0.187586	 38.8953  34.0365  11.0801  0.48714 -4.38999	-5.66314e-13     -10.0145
0.834096	  3.41832 -0.299656	  3.41937 -0.187586	 38.8972  34.0432  11.0845 0.489033 -4.38933	-5.33126e-13     -10.0148
0.835098	  3.41809 -0.299654	  3.41912 -0.187586	 38.9002  34.0527  11.0899 0.492469 -4.38899	-4.84842e-13     -10.0151
0.836106	   3.4178 -0.299653	  3.41887 -0.187586	 38.8862    34.04  11.1404 0.392804 -4.36844	-4.15033e-13     -10.0129
0.837101	  3.41754 -0.299659	  3.41861 -0.187586	 38.8936  34.0425  11.1061 0.456221 -4.37986	-3.37971e-13     -9.99685
0.838096	 3.41731 -0.29966	  3.41836 -0.187586	 38.8949  34.0466  11.1085 0.458135 -4.37928	-2.66076e-13     -9.97996
0.839098	  3.41705 -0.299661	  3.41809 -0.187586	  38.895   34.047  11.1098 0.458082 -4.37821	-1.8475e-13    -9.96469
0.840098	   3.4168 -0.299662	  3.41784 -0.187586	 38.8956  34.0489  11.1112 0.459129  -4.3774	-1.35168e-13     -9.95096
0.841108	  3.41652 -0.299663	  3.41758 -0.187586	 38.8925  34.0399  11.1088 0.454489 -4.37534	-1.07611e-13      -9.9387
0.842099	  3.41625 -0.299664	  3.41732 -0.187586	 38.8913  34.0364  11.1083 0.452971 -4.37395	-1.30353e-13     -9.92781
0.843098	  3.41604 -0.299664	  3.41706 -0.187586	 38.8952   34.048  11.1124 0.459956 -4.37445	-1.76544e-13     -9.91823
0.844099	  3.41577 -0.299665	  3.41679 -0.187586	 38.8945   34.046  11.1123 0.459425 -4.37324	-1.88991e-13     -9.90988
0.845098	  3.41553 -0.299666	  3.41653 -0.187586	 38.8951  34.0477  11.1132  0.46115 -4.37254	-1.9329e-13    -9.90269
0.846106	  3.41519 -0.299667	  3.41625 -0.187586	 38.8892  34.0301  11.1081 0.452058 -4.36936	-1.98975e-13     -9.89658
0.847098	  3.41492 -0.299667	  3.41599 -0.187586	 38.8884  34.0278  11.1076 0.451721 -4.36819	-2.02127e-13     -9.89148
0.84811	  3.41466 -0.299668	  3.41572 -0.187586	 38.8877  34.0257  11.1071 0.451404   -4.367	-1.80303e-13     -9.88734
0.849061	  3.41441 -0.299669	  3.41547 -0.187586	  38.887   34.024  11.1064   0.4515 -4.36597	-1.41133e-13     -9.88407
0.850098	  3.41414 -0.299669	   3.4152 -0.187586	  38.886  34.0209  11.1056 0.450617 -4.36463	-7.57416e-14     -9.88163
0.851102	 3.41386 -0.29967	  3.41492 -0.187586	 38.8856  34.0199  11.1058 0.450827  -4.3635	-2.64085e-14     -9.87994
0.852081	  3.41362 -0.299671	  3.41466 -0.187586	 38.8869  34.0236  11.1071 0.453805 -4.36306	3.11162e-14    -9.87894
0.853099	  3.41333 -0.299671	  3.41438 -0.187586	 38.8855  34.0199  11.1066 0.452296  -4.3615	1.20293e-13    -9.87859
0.854098	  3.41309 -0.299672	  3.41411 -0.187586	 38.8861  34.0218  11.1073 0.454156 -4.36081	2.13302e-13    -9.87883
0.855099	  3.41283 -0.299674	  3.41383 -0.187586	 38.8791  34.0227  11.1498 0.382978 -4.34564	2.94801e-13     -9.8796
0.856099	  3.41254 -0.299676	  3.41356 -0.187586	 38.8846  34.0178  11.1085 0.450219 -4.35783	3.56421e-13    -9.88088
0.857098	  3.41227 -0.299678	  3.41328 -0.187586	 38.8841  34.0163  11.1083 0.450212 -4.35666	3.9288e-13   -9.88263
0.858097	  3.41195 -0.299679	  3.41301 -0.187586	 38.8801   34.005  11.1052 0.444253 -4.35411	4.2493e-13   -9.88477
0.859118	 3.41167 -0.29968	  3.41272 -0.187586	 38.8808  34.0071  11.1069 0.445568 -4.35315	4.21816e-13    -9.88727
0.860105	   3.4114 -0.299681	  3.41244 -0.187586	 38.8805  34.0065  11.1075 0.445383 -4.35188	3.51304e-13    -9.89008
0.861061	  3.41114 -0.299682	  3.41216 -0.187586	 38.8821  34.0115    11.11 0.448352 -4.35134	2.11549e-13    -9.89316
0.8621	  3.41087 -0.299683	  3.41189 -0.187586	 38.8816  34.0104  11.1102 0.447842 -4.35004	8.08112e-14    -9.89647
0.863103	  3.41062 -0.299684	   3.4116 -0.187586	 38.8845  34.0192  11.1143 0.452603 -4.34986	1.63121e-14    -9.89999
0.8641	  3.41034 -0.299685	  3.41131 -0.187586	 38.8843  34.0191  11.1153 0.452232 -4.34853	-3.78284e-14     -9.90369
0.865062	  3.41005 -0.299686	  3.41103 -0.187586	  38.884  34.0188  11.1164 0.451708 -4.34715	-5.65372e-14     -9.90753
0.866063	  3.40971 -0.299687	  3.41075 -0.187586	  38.879  34.0037  11.1129 0.442444 -4.34376	-5.39931e-14     -9.91148
0.867061	  3.40948 -0.299687	  3.41046 -0.187586	 38.8839  34.0193  11.1193 0.450924 -4.34444	-3.40952e-14     -9.91553
0.868101	  3.40919 -0.299688	  3.41017 -0.187586	 38.8839  34.0199  11.1209 0.450517 -4.34308	1.96658e-14    -9.91964
0.869105	  3.40885 -0.299692	  3.40989 -0.187586	 38.8687  34.0026  11.1685 0.349921 -4.32139	8.31686e-14     -9.9238
0.870102	  3.40855 -0.299693	   3.4096 -0.187586	 38.8772  34.0008  11.1177 0.437251 -4.33781	1.72916e-13    -9.92801
0.871113	  3.40827 -0.299694	  3.40931 -0.187586	 38.8792  34.0071  11.1214 0.439893 -4.33711	3.23241e-13    -9.93228
0.872101	  3.40798 -0.299695	  3.40901 -0.187586	 38.8799  34.0099  11.1242 0.440312 -4.33589	5.04117e-13    -9.93653
0.873105	  3.40769 -0.299697	  3.40872 -0.187586	 38.8798  34.0101  11.1259 0.439257 -4.33437	6.35621e-13    -9.94076
0.874103	  3.40738 -0.299698	  3.40843 -0.187586	 38.8784  34.0069  11.1267 0.436133 -4.33236	7.38284e-13    -9.94495
0.875105	   3.4071 -0.299699	  3.40813 -0.187586	 38.8811  34.0152  11.1315 0.439334 -4.33176	8.6362e-13   -9.94908
0.876107	 3.4068 -0.2997	  3.40783 -0.187586	 38.8815  34.0172  11.1342 0.438955 -4.33037	9.97314e-13    -9.95315
0.877102	  3.40651 -0.299701	  3.40753 -0.187586	  38.882  34.0193  11.1369 0.438579 -4.32897	1.05477e-12    -9.95715
0.878102	  3.40619 -0.299702	  3.40725 -0.187586	 38.8803  34.0152  11.1375 0.434611 -4.32676	1.02717e-12    -9.96107
