Timestep 	 x_error[2] 	 command torques[5] 	 f contact[2]
0.0600801	0.0310786 0.0399437	 33.1043  15.1993  3.02965 -10.4111 -1.42344	-0 -0
0.0610592	0.0315747 0.0411282	 33.0641   15.099  2.97768 -10.4162 -1.41233	-0 -0
0.0620566	0.0320811 0.0425989	 33.0556  15.1056  2.99118 -10.4147 -1.40037	-0 -0
0.0630573	0.0325838 0.0439574	 33.0314  15.0597  2.97232 -10.4154 -1.38882	-0 -0
0.0640588	0.0331378 0.0453365	 33.0049   15.008  2.95091 -10.4188 -1.37639	-0 -0
0.0650577	0.0335908 0.0467361	 32.9827   14.969  2.93505  -10.415 -1.36562	-0 -0
0.0660612	0.0341087 0.0482994	 32.9735  14.9753   2.9481 -10.4114 -1.35339	-0 -0
0.0670586	0.0345954 0.0495968	 32.9336  14.8786  2.89759 -10.4121 -1.34235	-0 -0
0.0680597	0.0350852 0.0503247	 32.8306  14.5713  2.71865 -10.4264 -1.33259	-0 -0
0.0690598	0.0355845  0.052539	 32.8877  14.8027  2.86821 -10.4045 -1.31912	-0 -0
0.0700583	0.0360803 0.0537385	 32.8318   14.654  2.78601 -10.4076 -1.30819	-0 -0
0.071058	0.0365752 0.0555622	 32.8399  14.7212  2.83523 -10.3954 -1.29581	-0 -0
0.0720589	0.0370686 0.0571041	 32.8155  14.6797   2.8181   -10.39 -1.28417	-0 -0
0.0730658	0.0375615 0.0586662	32.7912 14.6386 2.80113 -10.384 -1.2725	-0 -0
0.0741127	0.0380576 0.0602483	32.7912 14.6386 2.80113 -10.384 -1.2725	-0 -0
0.0750955	0.0385614 0.0618505	 32.7412  14.5546  2.76625 -10.3715 -1.24881	-0 -0
0.0760912	 0.039035 0.0634727	 32.7175  14.5168  2.75069 -10.3625 -1.23738	-0 -0
0.0770917	0.0395215 0.0651148	 32.6931  14.4779  2.73458 -10.3538 -1.22571	-0 -0
0.0780915	0.0400089 0.0667767	 32.6687  14.4391  2.71854 -10.3446 -1.21399	-0 -0
0.0790947	0.0404945 0.0684585	 32.6443  14.4009  2.70272 -10.3347 -1.20228	-0 -0
0.08008	0.0409822 0.0701601	 32.6198  14.3628  2.68691 -10.3244  -1.1905	-0 -0
0.0810558	0.0414632 0.0718813	 32.5954  14.3258  2.67156 -10.3131  -1.1788	-0 -0
0.0820547	0.0419548 0.0736222	 32.5706  14.2878   2.6558 -10.3019  -1.1669	-0 -0
0.0830827	0.0424365 0.0753828	 32.5461  14.2514  2.64067 -10.2896 -1.15514	-0 -0
0.0840908	0.0429126 0.0771628	 32.5218  14.2159  2.62594 -10.2764 -1.14345	-0 -0
0.0850904	 0.043398 0.0789623	 32.4971  14.1797  2.61086 -10.2632 -1.13157	-0 -0
0.086057	0.0438748 0.0807813	 32.4726  14.1448  2.59635 -10.2489 -1.11982	-0 -0
0.0870573	0.0443332 0.0826196	 32.4489  14.1124  2.58287  -10.233 -1.10834	-0 -0
0.0880597	0.0448078 0.0844772	 32.4244  14.0784   2.5687 -10.2176 -1.09657	-0 -0
0.0890592	0.0452805 0.0863541	    32.4  14.0449  2.55473 -10.2016  -1.0848	-0 -0
0.0900816	0.0457679 0.0882501	 32.3749  14.0101  2.54017 -10.1859 -1.07277	-0 -0
0.0910905	0.0462228 0.0901653	 32.3506  13.9781   2.5267  -10.168 -1.06122	-0 -0
0.0920582	0.0467062 0.0920996	 32.3256  13.9444  2.51261  -10.151 -1.04921	-0 -0
0.0930942	0.0471572 0.0940528	 32.3019  13.9149  2.50026 -10.1316 -1.03771	-0 -0
0.0940575	0.0476417  0.096025	 32.2768  13.8818  2.48638 -10.1136 -1.02564	-0 -0
0.0950569	0.0480874 0.0980161	 32.2533  13.8535  2.47457 -10.0929  -1.0142	-0 -0
0.0960665	0.0485502  0.100026	  32.229  13.8235  2.46203 -10.0727 -1.00245	-0 -0
0.0970616	0.0490249  0.101038	  32.1228    13.518   2.28292  -10.0764 -0.992549	-0 -0
0.0980602	0.0494725  0.104102	  32.1839   13.7778   2.44514  -10.0289 -0.978879	-0 -0
0.09906	0.0499469  0.106168	  32.1591   13.7475   2.43235  -10.0079 -0.966894	-0 -0
0.100059	0.0503889  0.108252	  32.1356   13.7212    2.4213  -9.98446 -0.955436	-0 -0
0.10109	0.0508446  0.110355	  32.1114   13.6938   2.40974  -9.96135 -0.943736	-0 -0
0.102055	0.051299 0.112477	  32.0874   13.6669    2.3984  -9.93767 -0.932044	8.41041e-10    -9.59569
0.103126	0.0503713  0.112276	 34.1962  15.3052 -6.58658  8.40709 -6.26253	3.42804e-11    -6.21653
0.104055	0.0494374  0.112278	 34.4072  16.1755 -5.94111   8.4354 -6.20748	-1.35523e-11     -6.25243
0.105055	0.0485819  0.112278	 34.5927  16.9886 -5.29527  8.40588 -6.13425	-3.27971e-10     -6.29439
0.106057	0.047802 0.112278	 34.7673  17.7486 -4.69277   8.3767 -6.06536	-1.71789e-10     -6.33423
0.107061	0.0469868  0.112278	 34.9464  18.5253 -4.07554  8.34761 -5.99522	-1.62055e-10     -6.34575
0.108072	0.046184 0.112277	 35.1245  19.2967 -3.46228  8.31862  -5.9257	7.06399e-11    -6.41616
0.109054	0.0455414  0.112277	 35.2881    20.01 -2.89082  8.28204 -5.85792	2.71696e-10    -6.45623
