Timestep 	 x_error[2] 	 command torques[4]
1.28812	0.233335 0.134684	62.4102 32.7269 13.9246 4.66079
1.28912	0.234457 0.135481	62.4431 32.7334 13.9243 4.66244
1.29012	0.23558 0.13628	62.4728 32.7391 13.9241 4.66392
1.29112	0.236703  0.13708	62.5022 32.7448 13.9239 4.66539
1.29213	0.237826 0.137882	62.5605 32.7558 13.9234  4.6683
1.29312	 0.23895 0.138687	62.5605 32.7558 13.9234  4.6683
1.29413	0.240074 0.139493	62.6178 32.7664 13.9228 4.67116
1.29512	0.241198 0.140301	62.6178 32.7664 13.9228 4.67116
1.29608	0.242322 0.141111	62.6462 32.7716 13.9225 4.67258
1.29708	0.243447 0.141923	62.6744 32.7766 13.9221 4.67399
1.29808	0.244572 0.142737	62.7023 32.7816 13.9218 4.67538
1.29908	0.245698 0.143553	62.7301 32.7865 13.9215 4.67677
1.30008	0.246824 0.144371	62.7576 32.7912 13.9211 4.67814
1.30108	0.24795 0.14519	62.7849 32.7959 13.9207 4.67951
1.30208	0.248963 0.145929	62.8121 32.8005 13.9203 4.68086
1.30308	 0.25009 0.146753	62.8363 32.8046   13.92 4.68207
1.30408	0.251216 0.147578	62.8631  32.809 13.9195 4.68341
1.30508	0.252343 0.148405	62.8897 32.8134 13.9191 4.68473
1.30607	0.253471 0.149234	 62.916 32.8177 13.9187 4.68605
1.30708	0.254598 0.150065	62.9422 32.8218 13.9182 4.68735
1.30808	0.255726 0.150897	62.9683 32.8259 13.9178 4.68864
1.30908	0.256853 0.151732	62.9941   32.83 13.9173 4.68993
1.31008	0.257981 0.152569	63.0197 32.8339 13.9168  4.6912
1.31108	0.259223 0.153491	63.0452 32.8378 13.9163 4.69247
1.31208	0.260238 0.154247	 63.073 32.8419 13.9157 4.69385
1.31308	0.261367  0.15509	63.0956 32.8453 13.9153 4.69497
1.31408	0.262495 0.155934	63.1205 32.8489 13.9148  4.6962
1.31508	0.263624  0.15678	63.1453 32.8525 13.9142 4.69743
1.31608	0.264753 0.157628	63.1699  32.856 13.9137 4.69864
1.31708	0.265882 0.158478	63.1943 32.8594 13.9131 4.69985
1.31808	0.267012 0.159329	63.2186 32.8628 13.9126 4.70104
1.31908	0.268141 0.160183	63.2427 32.8661  13.912 4.70223
1.32008	0.269384 0.161124	63.2667 32.8693 13.9114 4.70341
1.32108	0.270513 0.161982	63.2928 32.8727 13.9108 4.70469
1.32208	0.271643 0.162841	63.3164 32.8758 13.9102 4.70585
1.32308	 0.27266 0.163616	63.3399 32.8788 13.9096   4.707
1.32408	0.27379 0.16448	63.3609 32.8815  13.909 4.70802
1.32508	 0.27492 0.165345	 63.384 32.8844 13.9084 4.70915
1.32612	 0.27605 0.166211	 63.407 32.8872 13.9078 4.71027
1.32712	0.27718 0.16708	63.4299   32.89 13.9072 4.71138
1.32812	 0.27831 0.167951	63.4752 32.8954 13.9059 4.71357
1.32913	0.279441 0.168823	63.4752 32.8954 13.9059 4.71357
1.33012	0.280571 0.169698	63.5199 32.9006 13.9046 4.71573
1.33107	0.281814 0.170662	63.5199 32.9006 13.9046 4.71573
1.33212	0.282945  0.17154	63.5443 32.9033 13.9039  4.7169
1.33308	0.284075  0.17242	63.5663 32.9057 13.9032 4.71796
1.33412	0.285206 0.173302	63.5881 32.9081 13.9026   4.719
1.33508	0.286223 0.174098	63.6098 32.9105 13.9019 4.72004
1.33612	0.287353 0.174983	63.6293 32.9125 13.9013 4.72096
1.33708	 0.28756 0.175566	63.6507 32.9148 13.9006 4.72198
1.33813	0.287144 0.175911	46.2376 29.0173 27.6542 8.54414
1.33907	0.286764 0.176229	46.2376 29.0173 27.6542 8.54414
1.34008	0.286379 0.176555	46.5059 29.1976 27.8628 8.62357
1.34113	 0.28601 0.176872	46.2069 29.0051 27.7195 8.57262
1.34212	0.285648 0.177188	45.5658 28.5917 27.4035 8.46003
1.34313	0.285287 0.177508	45.2401 28.3818 27.2429 8.40294
1.34414	0.284944 0.177817	44.9254  28.179 27.0877 8.34787
1.34515	0.284613 0.178119	44.9254  28.179 27.0877 8.34787
1.34613	0.284289 0.178421	44.3102 27.7827 26.7842 8.24046
1.34713	0.283977 0.178716	44.0093 27.5888 26.6357 8.18804
1.34813	0.283673 0.179008	43.7113  27.397 26.4886 8.13623
1.34913	0.283378 0.179296	43.7113  27.397 26.4886 8.13623
1.35013	0.283092  0.17958	43.1256   27.02 26.1996 8.03464
1.35112	0.282813 0.179863	43.1256   27.02 26.1996 8.03464
1.35208	 0.28258 0.180104	 42.836 26.8337 26.0567 7.98454
1.35311	0.282286 0.180412	42.5901 26.6755 25.9353 7.94206
1.35408	0.282035 0.180681	42.2731 26.4716 25.7788 7.88738
1.35507	 0.28179 0.180949	41.9962 26.2936  25.642 7.83968
1.35607	0.281584 0.181178	41.7213 26.1169 25.5063 7.79243
1.35712	0.281333 0.181463	 41.451 25.9438 25.3705 7.74625
1.35812	0.281104  0.18173	41.1911 25.7762 25.2444 7.70145
1.35912	0.280896 0.181978	 40.917 25.6001  25.109 7.65458
1.36014	0.280691 0.182227	40.4032 25.2701 24.8551 7.56687
1.36113	0.280498 0.182467	40.4032 25.2701 24.8551 7.56687
1.36212	 0.28031 0.182707	39.9066 24.9514 24.6097 7.48238
1.36308	0.280122 0.182953	39.9066 24.9514 24.6097 7.48238
1.36413	0.279946 0.183189	39.4064 24.6306 24.3625 7.39754
1.36514	0.279777 0.183421	39.4064 24.6306 24.3625 7.39754
1.36613	0.279615 0.183651	38.9261 24.3226 24.1249 7.31632
1.36713	0.279459 0.183877	38.6903 24.1715 24.0083 7.27656
1.36813	0.279311   0.1841	38.4578 24.0225 23.8933  7.2374
1.36917	0.279171 0.184316	38.2321 23.8779 23.7816 7.19945
1.37007	0.279032 0.184538	38.2321 23.8779 23.7816 7.19945
1.37113	0.278901 0.184752	37.7759 23.5857 23.5558 7.12292
1.37208	0.278778 0.184963	37.7759 23.5857 23.5558 7.12292
1.37308	0.278662 0.185167	37.5552 23.4445 23.4466 7.08598
1.37412	0.278555 0.185362	37.1357  23.176 23.2389 7.01592
1.37512	0.278441  0.18558	37.1357  23.176 23.2389 7.01592
1.37613	0.278339 0.185782	36.6923 22.8924 23.0192 6.94208
1.37712	0.278245 0.185977	36.6923 22.8924 23.0192 6.94208
1.37812	0.278155 0.186172	36.4871 22.7612 22.9175 6.90801
1.37913	0.278071 0.186363	36.0792 22.5005 22.7154 6.84043
1.38013	0.277992 0.186552	36.0792 22.5005 22.7154 6.84043
1.38113	0.277918 0.186739	35.8791 22.3727 22.6161 6.80735
1.38213	0.277849 0.186922	35.4861 22.1218 22.4213 6.74255
1.38313	0.277785 0.187104	35.2932 21.9986 22.3257 6.71082
1.38407	0.277727 0.187278	35.2932 21.9986 22.3257 6.71082
1.38507	0.277727 0.187278	35.1075 21.8801 22.2335 6.68032
1.38607	0.277623 0.187627	34.9206 21.7609 22.1408 6.64967
1.38707	0.277578 0.187799	34.7352 21.6426 22.0488  6.6193
1.38807	0.277538 0.187963	34.5521 21.5259 21.9579 6.58938
1.38907	0.277503 0.188123	34.3757 21.4134 21.8703 6.56056
1.39008	0.277471 0.188288	34.2042 21.3041 21.7852 6.53261
1.39107	0.277441 0.188466	34.0266  21.191  21.697  6.5037
1.39207	0.277417 0.188625	33.8355 21.0693 21.6021 6.47266
1.39307	0.277398 0.188782	33.6639   20.96 21.5168 6.44482
1.39407	0.277383 0.188937	33.4946 20.8522 21.4326 6.41739
1.39507	0.277372  0.18909	33.3268 20.7454 21.3492 6.39026
1.39607	0.277364  0.18924	33.1617 20.6404 21.2672 6.36361
1.39707	0.277361 0.189385	32.9987 20.5367 21.1861 6.33733
1.39807	0.277361 0.189531	32.8421 20.4371 21.1083 6.31213
1.39907	0.277365 0.189675	 32.683  20.336 21.0291 6.28657
1.40007	0.277372 0.189818	32.5259 20.2361 20.9509 6.26137
1.40107	0.277383 0.189958	32.3708 20.1376 20.8738 6.23652
1.40207	0.277397 0.190097	32.2177 20.0404 20.7976 6.21204
1.40307	0.277413 0.190223	32.0664 19.9443 20.7223 6.18791
1.40407	0.277434 0.190357	31.9274  19.856  20.653 6.16574
1.40507	0.277459 0.190499	31.7799 19.7624 20.5795 6.14223
1.40607	0.277484  0.19062	31.6239 19.6635 20.5019 6.11747
1.4071	0.277515 0.190749	 31.348 19.4885 20.3643  6.0737
1.40812	0.277548 0.190877	31.2071 19.3992 20.2941 6.05144
1.40912	0.277584    0.191	31.2071 19.3992 20.2941 6.05144
1.41012	0.277623 0.191123	30.9331 19.2256 20.1573 6.00818
1.41112	0.277665 0.191245	30.7982 19.1402   20.09 5.98693
1.41214	0.277709 0.191364	30.6654 19.0561 20.0238 5.96608
1.41313	0.277757 0.191482	30.6654 19.0561 20.0238 5.96608
1.41412	0.277812 0.191609	30.3913 18.8827  19.887 5.92313
1.41512	 0.27786 0.191712	30.2766 18.8101 19.8296 5.90517
1.41612	0.277915 0.191824	30.1506 18.7305 19.7667 5.88551
1.41712	0.277973 0.191935	30.0256 18.6515 19.7043 5.86604
1.41812	0.278039 0.192055	29.8909 18.5664 19.6369 5.84509
1.41912	0.278095  0.19215	29.7837 18.4987 19.5834 5.82845
1.42007	0.278161 0.192258	29.7837 18.4987 19.5834 5.82845
1.42112	0.278235 0.192372	29.6623  18.422 19.5227 5.80963
1.42213	0.278305 0.192475	29.4158 18.2664 19.3994  5.7715
1.42312	0.278377 0.192576	29.3009 18.1939 19.3419 5.75378
1.42413	0.278451 0.192676	29.1877 18.1225 19.2852 5.73635
1.42513	0.278527 0.192774	29.1877 18.1225 19.2852 5.73635
1.42614	0.278605 0.192871	28.9652 17.9823 19.1738 5.70219
1.42713	0.278685 0.192966	28.8568  17.914 19.1195 5.68559
1.42813	0.278767 0.193059	28.7496 17.8465 19.0658  5.6692
1.42913	0.278851 0.193152	28.7496 17.8465 19.0658  5.6692
1.43013	0.278937 0.193242	28.6435 17.7797 19.0126 5.65301
1.43113	0.279025 0.193332	28.4358  17.649 18.9085  5.6214
1.43213	0.279114  0.19342	28.3341  17.585 18.8575 5.60596
1.43314	0.279205 0.193507	28.3341  17.585 18.8575 5.60596
1.43408	0.279298 0.193592	28.2334 17.5217  18.807 5.59071
1.43508	0.279393 0.193676	28.1344 17.4595 18.7573 5.57574
1.43613	0.279489 0.193759	  27.94 17.3375 18.6597 5.54642
1.43707	0.279587 0.193841	  27.94 17.3375 18.6597 5.54642
1.43813	0.279685  0.19392	27.7508 17.2187 18.5647 5.51799
1.43913	0.279786 0.193999	27.6582 17.1606 18.5182 5.50411
1.44008	0.279888 0.194077	27.5668 17.1032 18.4722 5.49043
1.44113	0.279991 0.194153	27.5668 17.1032 18.4722 5.49043
1.44214	0.280096 0.194229	27.3873 16.9908 18.3819 5.46366
1.44313	0.280202 0.194303	27.2998  16.936 18.3379 5.45065
1.44413	 0.28031 0.194376	 27.213 16.8816 18.2942 5.43776
1.44513	0.280418 0.194447	 27.213 16.8816 18.2942 5.43776
1.44613	0.280528 0.194518	27.0433 16.7754 18.2513 5.42513
1.44713	0.280639 0.194587	26.9602 16.7234 18.1669 5.40038
1.44813	0.280752 0.194656	26.8782 16.6722 18.1256  5.3883
1.44914	0.280865 0.194723	26.8782 16.6722 18.1256  5.3883
1.45013	0.280979 0.194789	26.7174 16.5717 18.0445 5.36468
1.45113	0.281095 0.194854	26.6386 16.5225 18.0048 5.35315
1.45208	0.281208 0.194917	26.6386 16.5225 18.0048 5.35315
1.45309	 0.28133 0.194982	 26.563 16.4753 17.9666  5.3421
1.45413	0.281447 0.195043	26.4088 16.3792 17.8888 5.31964
1.45513	0.281567 0.195104	26.3343 16.3327 17.8511 5.30881
1.45608	0.281687 0.195164	26.3343 16.3327 17.8511 5.30881
1.45711	0.281805 0.195222	26.2605 16.2867 17.8139 5.29812
1.45813	0.281931 0.195281	26.1165  16.197 17.7411 5.27732
1.45913	0.282053 0.195338	26.0461 16.1532 17.7055 5.26719
1.46013	0.282195 0.195386	25.9728 16.1076 17.6678 5.25651
1.46113	0.282302 0.195449	25.9078 16.0672 17.6355 5.24733
1.46212	0.282418   0.1955	25.8451 16.0282 17.6038 5.23837
1.46312	0.282552 0.195557	25.7736 15.9838 17.5676 5.22817
1.46412	 0.28267 0.195606	 25.712 15.9455 17.5364 5.21938
1.46513	0.282796 0.195657	25.6477 15.9056 17.5038 5.21024
1.46613	0.282934 0.195711	25.5785 15.8627 17.4686 5.20041
1.46713	0.283062 0.195761	25.5153 15.8235 17.4366 5.19146
1.46813	0.283191  0.19581	 25.453 15.7849  17.405 5.18268
1.46911	0.283317 0.195857	 25.453 15.7849  17.405 5.18268
1.47008	0.283451 0.195905	25.3933 15.7479 17.3747 5.17426
1.47113	0.283582 0.195952	25.2714 15.6724 17.3128 5.15715
1.47212	0.283713 0.195997	25.2126  15.636 17.2829 5.14893
1.47308	0.283845 0.196042	25.2126  15.636 17.2829 5.14893
1.47412	0.283977 0.196086	25.1546 15.6002 17.2534 5.14084
1.47513	0.284109 0.196129	25.0411   15.53 17.1957 5.12506
1.47614	0.284242 0.196172	24.9854 15.4956 17.1673 5.11734
1.47714	0.284376 0.196214	24.9854 15.4956 17.1673 5.11734
1.47813	0.284509 0.196255	24.8765 15.4284 17.1119 5.10232
1.47913	0.284643 0.196295	24.8233 15.3956 17.0848 5.09501
1.48013	0.284778 0.196334	24.7708 15.3632  17.058  5.0878
1.48113	0.284912 0.196373	24.7708 15.3632  17.058  5.0878
1.48213	0.285048 0.196411	24.6679 15.2999 17.0055 5.07374
1.48312	0.285183 0.196449	24.6679 15.2999 17.0055 5.07374
1.48413	0.285318 0.196485	24.5681 15.2385 16.9545 5.06019
1.48508	0.285454 0.196521	24.5681 15.2385 16.9545 5.06019
1.48613	0.285591 0.196557	24.4706 15.1786 16.9047 5.04702
1.48708	0.285727 0.196592	24.4706 15.1786 16.9047 5.04702
1.48813	0.285862 0.196626	24.3767 15.1209 16.8567 5.03439
1.48908	0.285986 0.196656	24.3767 15.1209 16.8567 5.03439
1.49009	0.286136 0.196692	24.2848 15.0646 16.8096 5.02209
1.49112	0.286273 0.196724	24.2848 15.0646 16.8096 5.02209
1.49213	 0.28641 0.196756	24.1959 15.0101 16.7641 5.01029
1.49314	0.286547 0.196786	24.1959 15.0101 16.7641 5.01029
1.49413	0.286684 0.196817	24.1095 14.9573 16.7198 4.99887
1.49513	0.286821 0.196846	24.0672 14.9315 16.6981 4.99331
1.49613	0.286959 0.196876	24.0255  14.906 16.6766 4.98785
1.49713	0.287096 0.196904	24.0255  14.906 16.6766 4.98785
1.49813	0.287234 0.196932	23.9439 14.8562 16.6347 4.97719
1.49913	0.287371  0.19696	 23.904 14.8318 16.6142   4.972
1.50013	0.287508 0.196987	23.8648  14.808  16.594 4.96693
1.50113	0.287646 0.197013	23.8648  14.808  16.594 4.96693
1.50207	 0.28778 0.197038	 23.826 14.7843  16.574 4.96192
1.50308	0.287921 0.197064	23.7889 14.7617 16.5549 4.95714
1.50408	0.288058 0.197089	23.7504 14.7383 16.5351 4.95221
1.50507	0.288196 0.197113	23.7133 14.7158 16.5159 4.94746
1.50607	0.288333 0.197137	23.6768 14.6936 16.4971 4.94281
1.50712	0.288467 0.197159	23.6064 14.6509 16.4607 4.93389
1.50812	0.288607 0.197183	23.6064 14.6509 16.4607 4.93389
1.50913	0.288745 0.197205	23.5706 14.6292 16.4422 4.92937
1.51012	0.288882 0.197227	23.5361 14.6083 16.4244 4.92504
1.51113	0.289018 0.197248	23.5023 14.5878 16.4069  4.9208
1.51213	0.289155 0.197269	23.4362 14.5478 16.3726 4.91257
1.51313	0.289291 0.197289	23.4362 14.5478 16.3726 4.91257
1.51413	0.289428 0.197309	23.3719  14.509 16.3393 4.90463
1.51513	0.289564 0.197329	23.3405 14.4901  16.323 4.90077
1.51613	  0.2897 0.197348	23.3405 14.4901  16.323 4.90077
1.51713	0.289836 0.197366	23.3097 14.4715  16.307   4.897
1.51812	0.289972 0.197384	23.2493 14.4351 16.2756 4.88964
1.51912	0.290108 0.197402	23.2197 14.4173 16.2602 4.88606
1.52008	0.290243  0.19742	23.2197 14.4173 16.2602 4.88606
1.52112	0.290378 0.197437	23.1907 14.3999 16.2451 4.88257
1.52215	0.290513 0.197453	23.1338 14.3658 16.2154 4.87576
1.52314	0.290648 0.197469	 23.106 14.3491 16.2009 4.87246
1.52412	0.290782 0.197485	 23.106 14.3491 16.2009 4.87246
1.52513	0.290916   0.1975	23.0788 14.3328 16.1867 4.86923
1.52612	0.291047 0.197515	 23.026 14.3012 16.1591 4.86302
1.52712	 0.29117 0.197528	23.0019 14.2868 16.1465 4.86019
1.52812	0.291304 0.197542	22.9761 14.2714  16.133  4.8572
1.52912	0.291437 0.197556	22.9761 14.2714  16.133  4.8572
1.53012	0.29157 0.19757	22.9258 14.2414 16.1066 4.85138
1.53113	0.291702 0.197583	22.9012 14.2268 16.0937 4.84856
1.53212	0.291835 0.197596	 22.877 14.2124  16.081 4.84581
1.53313	0.291967 0.197608	 22.877 14.2124  16.081 4.84581
1.53413	0.292099  0.19762	22.8298 14.1843 16.0561 4.84045
1.53508	 0.29223 0.197632	22.8068 14.1707  16.044 4.83786
1.53613	0.292371 0.197644	22.7824 14.1562 16.0312 4.83513
1.53711	0.292506 0.197656	22.7824 14.1562 16.0312 4.83513
1.53813	0.292635 0.197666	22.7377 14.1298 16.0076 4.83018
1.53912	0.292765 0.197677	22.7377 14.1298 16.0076 4.83018
1.54008	0.292882 0.197686	 22.697 14.1057  15.986  4.8257
1.54112	0.293026 0.197697	 22.697 14.1057  15.986  4.8257
1.54212	 0.29314 0.197705	22.6556 14.0813 15.9641 4.82121
1.54312	0.293282 0.197715	22.6556 14.0813 15.9641 4.82121
1.54413	 0.29341 0.197724	22.6334 14.0682 15.9523 4.81883
1.54512	0.293538 0.197733	22.6135 14.0566 15.9418  4.8167
1.54612	0.293668 0.197741	22.5939  14.045 15.9314 4.81462
1.54712	0.293794 0.197749	22.5744 14.0336  15.921 4.81257
1.54812	0.293921 0.197757	22.5556 14.0226  15.911  4.8106
1.54912	0.294047 0.197764	22.5371 14.0117 15.9011 4.80867
1.55012	0.294174 0.197772	22.5188 14.0011 15.8914 4.80678
1.55112	0.294299 0.197778	22.5007 13.9905 15.8817 4.80491
1.55207	0.294419 0.197785	 22.483 13.9802 15.8723 4.80312
1.55308	0.294544 0.197791	22.4663 13.9705 15.8633 4.80142
1.55412	0.294669 0.197797	22.4492 13.9605 15.8542  4.7997
1.55512	0.294798 0.197804	22.4151 13.9407 15.8359 4.79631
1.55608	0.294916 0.197809	22.4151 13.9407 15.8359 4.79631
1.55712	 0.29504 0.197814	22.3836 13.9224 15.8189 4.79322
1.55812	0.295162  0.19782	22.3836 13.9224 15.8189 4.79322
1.55913	0.295278 0.197824	22.3533 13.9049 15.8026  4.7903
1.56012	  0.2954 0.197829	22.3381 13.8961 15.7944 4.78885
1.56112	0.295521 0.197833	22.3231 13.8875 15.7863 4.78744
1.56212	0.295642 0.197838	22.3084 13.8791 15.7783 4.78606
1.56312	0.295774 0.197842	22.3084 13.8791 15.7783 4.78606
1.56412	0.295895 0.197846	22.2926   13.87 15.7698  4.7846
1.56512	0.296014  0.19785	22.2645 13.8539 15.7545 4.78203
1.56612	0.296129 0.197853	22.2645 13.8539 15.7545 4.78203
1.56712	0.296248 0.197856	22.2513 13.8464 15.7473 4.78084
1.56812	0.296367 0.197859	22.2379 13.8387   15.74 4.77964
1.56912	0.296476 0.197862	22.2126 13.8243 15.7262 4.77742
1.57008	0.296608 0.197864	22.2126 13.8243 15.7262 4.77742
1.57113	0.296722 0.197867	22.1861 13.8093 15.7117 4.77514
1.57208	0.296839 0.197869	22.1861 13.8093 15.7117 4.77514
1.57309	0.296956 0.197871	22.1617 13.7955 15.6983 4.77309
1.57412	0.297071 0.197873	22.1617 13.7955 15.6983 4.77309
1.57512	0.297186 0.197874	22.1499 13.7888 15.6918 4.77212
1.57609	0.297301 0.197876	22.1383 13.7823 15.6854 4.77117
1.57711	0.297416 0.197877	22.1268 13.7758 15.6791 4.77025
1.57812	0.297531 0.197878	22.1156 13.7695 15.6729 4.76936
1.57912	0.297643 0.197879	22.0938 13.7573 15.6608 4.76766
1.58013	0.297756  0.19788	22.0832 13.7514 15.6549 4.76686
1.58113	0.297869  0.19788	22.0832 13.7514 15.6549 4.76686
1.58212	 0.29798 0.197881	22.0728 13.7456 15.6491 4.76607
1.58312	0.298092 0.197881	22.0626   13.74 15.6435 4.76532
1.58413	0.298203 0.197881	22.0428  13.729 15.6324 4.76389
1.58508	0.298313 0.197881	22.0428  13.729 15.6324 4.76389
1.58612	0.298423 0.197881	22.0331 13.7236  15.627 4.76321
1.58707	0.298533  0.19788	22.0236 13.7184 15.6216 4.76256
1.58812	0.298643  0.19788	22.0144 13.7133 15.6164 4.76193
1.58907	0.298751 0.197879	22.0052 13.7083 15.6113 4.76132
1.59009	0.298859 0.197878	21.9876 13.6987 15.6013 4.76018
1.59113	0.298967 0.197877	 21.979  13.694 15.5964 4.75964
1.59212	0.299074 0.197876	21.9706 13.6894 15.5917 4.75913
1.59313	0.299181 0.197875	21.9706 13.6894 15.5917 4.75913
1.59412	0.299287 0.197873	21.9623 13.6849  15.587 4.75864
1.59512	0.299393 0.197872	21.9543 13.6806 15.5823 4.75817
1.59613	0.299498  0.19787	21.9386 13.6722 15.5734 4.75729
1.59713	0.299603 0.197868	21.9386 13.6722 15.5734 4.75729
1.59813	0.299707 0.197867	21.9235 13.6641 15.5647 4.75649
1.59912	0.299811 0.197864	21.9235 13.6641 15.5647 4.75649
1.60013	0.299914 0.197862	21.9091 13.6564 15.5563 4.75577
1.60113	0.300017  0.19786	21.9091 13.6564 15.5563 4.75577
1.60208	0.300117 0.197858	21.9021 13.6527 15.5523 4.75544
1.60308	0.300219 0.197855	21.8954 13.6492 15.5484 4.75513
1.60408	 0.30032 0.197853	21.8887 13.6457 15.5445 4.75484
1.60508	0.300424  0.19785	21.8821 13.6422 15.5406 4.75456
1.60607	0.300522 0.197847	21.8755 13.6388 15.5368  4.7543
1.60712	0.300622 0.197844	21.8632 13.6324 15.5295 4.75384
1.60812	0.300724 0.197841	21.8632 13.6324 15.5295 4.75384
1.60913	0.300823 0.197838	21.8571 13.6292 15.5259 4.75363
1.61013	0.300922 0.197835	21.8512 13.6262 15.5224 4.75344
1.61113	 0.30102 0.197831	21.8398 13.6204 15.5156  4.7531
1.61213	0.301117 0.197828	21.8343 13.6176 15.5123 4.75296
1.61315	0.301214 0.197824	21.8343 13.6176 15.5123 4.75296
1.61412	0.301311  0.19782	21.8289 13.6149  15.509 4.75283
1.61514	0.301407 0.197817	21.8185 13.6096 15.5028 4.75262
1.61613	0.301503 0.197813	21.8135 13.6071 15.4997 4.75254
1.61713	0.301598 0.197809	21.8135 13.6071 15.4997 4.75254
1.61813	0.301693 0.197805	21.8038 13.6024 15.4938 4.75242
1.61908	0.301779 0.197801	21.7995 13.6002 15.4911 4.75237
1.62008	0.301881 0.197797	21.7995 13.6002 15.4911 4.75237
1.62107	0.301974 0.197792	21.7946 13.5978 15.4881 4.75235
1.62207	0.302067 0.197788	21.7902 13.5957 15.4853 4.75233
1.62307	 0.30216 0.197783	21.7858 13.5936 15.4826 4.75233
1.62407	0.302255 0.197779	21.7816 13.5915   15.48 4.75234
1.62507	0.302345 0.197774	21.7773 13.5895 15.4773 4.75237
1.62607	0.302437  0.19777	21.7733 13.5876 15.4748  4.7524
1.62707	0.302527 0.197765	21.7694 13.5858 15.4723 4.75245
1.62807	0.302617  0.19776	21.7656  13.584 15.4699 4.75251
1.62907	0.302706 0.197755	21.7618 13.5823 15.4675 4.75258
1.63007	0.302796  0.19775	21.7582 13.5806 15.4651 4.75266
1.63107	0.302884 0.197745	21.7547  13.579 15.4628 4.75276
1.63207	0.302972  0.19774	21.7513 13.5775 15.4606 4.75286
1.63307	0.303061 0.197735	 21.748  13.576 15.4584 4.75297
1.63407	0.303143  0.19773	21.7447 13.5746 15.4563  4.7531
1.63507	 0.30323 0.197725	21.7417 13.5733 15.4543 4.75323
1.63607	0.303316 0.197719	21.7386 13.5719 15.4523 4.75337
1.63707	0.303394 0.197714	21.7357 13.5707 15.4503 4.75353
1.63807	0.303487 0.197708	 21.733 13.5695 15.4485 4.75368
1.63907	0.303564 0.197703	  21.73 13.5683 15.4464 4.75387
1.64007	0.303648 0.197698	21.7275 13.5672 15.4447 4.75403
1.64107	0.303733 0.197692	21.7249 13.5662 15.4429 4.75422
1.64207	0.303825 0.197686	21.7223 13.5651 15.4411 4.75443
1.64307	0.303907  0.19768	21.7195  13.564 15.4391 4.75466
1.64407	0.303989 0.197674	21.7172 13.5631 15.4375 4.75487
1.64507	0.304072 0.197668	21.7149 13.5622 15.4358  4.7551
1.64607	0.304153 0.197663	21.7126 13.5614 15.4342 4.75534
1.64707	0.304234 0.197657	21.7105 13.5606 15.4326 4.75558
1.64807	0.304315 0.197651	21.7084 13.5598 15.4311 4.75583
1.64907	0.304395 0.197645	21.7064 13.5591 15.4296 4.75608
1.65007	0.304475 0.197639	21.7044 13.5585 15.4281 4.75635
1.65107	0.304555 0.197632	21.7025 13.5578 15.4267 4.75662
1.65207	0.304631 0.197626	21.7007 13.5573 15.4253 4.75691
1.65307	0.304709  0.19762	 21.699 13.5567  15.424 4.75718
1.65407	0.304787 0.197614	21.6974 13.5562 15.4227 4.75747
1.65507	0.304865 0.197608	21.6958 13.5558 15.4214 4.75777
1.65607	0.304942 0.197601	21.6942 13.5553 15.4201 4.75808
1.65707	0.305019 0.197595	21.6927 13.5549 15.4189 4.75839
1.65807	0.305095 0.197589	21.6913 13.5546 15.4177 4.75871
1.65907	0.305171 0.197582	  21.69 13.5543 15.4166 4.75903
1.66007	0.305246 0.197576	21.6887  13.554 15.4154 4.75936
1.66107	0.305321 0.197569	21.6875 13.5537 15.4144  4.7597
1.66207	0.305398 0.197563	21.6863 13.5535 15.4133 4.76004
1.66307	0.305472 0.197556	21.6851 13.5533 15.4122  4.7604
1.66407	0.305546 0.197549	21.6841 13.5532 15.4112 4.76075
1.66507	 0.30562 0.197543	21.6831  13.553 15.4103 4.76111
1.66607	0.305692 0.197536	21.6821  13.553 15.4093 4.76148
1.66712	0.305763  0.19753	21.6804 13.5529 15.4076 4.76221
1.66813	0.305829 0.197523	21.6797 13.5529 15.4068 4.76255
1.66913	0.305905 0.197516	21.6797 13.5529 15.4068 4.76255
1.67012	0.305972  0.19751	21.6783  13.553 15.4052 4.76332
1.67113	 0.30605 0.197502	21.6776 13.5531 15.4043 4.76376
1.67212	0.306113 0.197496	21.6776 13.5531 15.4043 4.76376
1.67314	0.306182  0.19749	21.6771 13.5532 15.4036 4.76411
1.67412	0.306254 0.197482	21.6765 13.5534 15.4029  4.7645
1.67512	0.306329 0.197475	 21.676 13.5535 15.4022 4.76492
1.67613	0.306397 0.197468	21.6752  13.554 15.4008 4.76577
1.67714	0.306466 0.197461	21.6752  13.554 15.4008 4.76577
1.67813	0.306534 0.197454	21.6745 13.5545 15.3996 4.76661
1.67913	0.306601 0.197447	21.6742 13.5548 15.3996 4.76661
1.68013	0.306668  0.19744	 21.674 13.5552 15.3985 4.76745
1.68113	0.306728 0.197434	21.6739 13.5555  15.398 4.76784
1.68213	0.306801 0.197426	21.6737 13.5559 15.3975 4.76832
1.68312	0.306867 0.197419	21.6737 13.5559 15.3975 4.76832
1.68412	0.306932 0.197412	21.6736 13.5563  15.397 4.76875
1.68508	0.306997 0.197405	21.6736 13.5567 15.3965 4.76919
1.68612	 0.30706 0.197398	21.6735 13.5572 15.3961 4.76963
1.68714	0.307126 0.197391	21.6736 13.5581 15.3953 4.77052
