Timestep 	 x_error[2] 	 command torques[4]
0.0810901	0.000265451 0.000506729	67.1982 37.3049 15.9648 4.63466
0.0820977	0.000270233 0.000509775	 67.194 37.3024 15.9635 4.63427
0.0830584	0.000275023  0.00051277	67.1899    37.3 15.9622 4.63388
0.0840545	0.000279822 0.000515715	67.1857 37.2975 15.9609 4.63349
0.0850912	0.000284629 0.000518611	67.1817 37.2951 15.9597 4.63311
0.0860551	0.000289442 0.000521459	67.1777 37.2927 15.9585 4.63274
0.0871131	0.000294262  0.00052426	67.1737 37.2904 15.9573 4.63237
0.0880881	0.000299088 0.000527013	67.1698 37.2881 15.9561 4.63201
0.0891367	0.000303919  0.00052972	67.1659 37.2858 15.9549 4.63165
0.0900578	0.000308755 0.000532381	67.1621 37.2835 15.9537  4.6313
0.0910573	0.000313594 0.000534998	67.1583 37.2813 15.9526 4.63095
0.0920571	0.000318437  0.00053757	67.1546 37.2791 15.9514 4.63061
0.0930898	0.000323283 0.000540098	67.1509 37.2769 15.9503 4.63027
0.0941101	0.000328132 0.000542583	67.1473 37.2747 15.9492 4.62994
0.0950661	0.000333467 0.000545268	67.1433 37.2724  15.948 4.62958
0.0960953	0.000337833 0.000547427	67.1401 37.2705 15.9471 4.62928
0.0970909	0.000343171  0.00055002	67.1363 37.2682 15.9459 4.62893
0.0980928	0.000348024 0.000552334	67.1328 37.2661 15.9448 4.62862
0.09909	0.000352876 0.000554609	67.1294 37.2641 15.9438 4.62831
0.100091	0.000357728 0.000556844	 67.126 37.2621 15.9428   4.628
0.10109	0.000362578  0.00055904	67.1226 37.2601 15.9418  4.6277
0.102061	0.000367427 0.000561197	67.1193 37.2582 15.9408 4.62741
0.103097	0.000371789 0.000563107	67.1164 37.2564 15.9399 4.62714
0.104091	0.000376634 0.000565193	67.1132 37.2545  15.939 4.62686
0.105098	0.000381475 0.000567242	  67.11 37.2526  15.938 4.62657
0.106055	0.000386313 0.000569255	67.1068 37.2508 15.9371 4.62629
0.107055	0.000391147 0.000571233	67.1037 37.2489 15.9362 4.62601
0.108055	0.000395977 0.000573175	67.1006 37.2471 15.9352 4.62574
0.109056	0.000400803 0.000575082	67.0976 37.2453 15.9343 4.62547
0.110112	0.000405623 0.000576955	67.0946 37.2436 15.9335 4.62521
0.111065	0.000410438 0.000578794	67.0916 37.2418 15.9326 4.62495
0.112057	0.000415247   0.0005806	67.0887 37.2401 15.9317 4.62469
0.113056	 0.00042053 0.000582549	67.0855 37.2382 15.9308 4.62441
0.114055	0.000424847 0.000584114	67.0829 37.2367   15.93 4.62419
0.115055	0.000429636 0.000585824	67.0801  37.235 15.9292 4.62394
0.116054	0.000434419 0.000587501	67.0773 37.2334 15.9284  4.6237
0.117056	0.000439671 0.000589311	67.0743 37.2316 15.9275 4.62344
0.118055	0.000443961 0.000590764	67.0718 37.2301 15.9268 4.62323
0.119055	 0.00044872 0.000592351	67.0691 37.2285  15.926   4.623
0.120056	0.000453945 0.000594061	67.0662 37.2268 15.9251 4.62275
0.121055	0.000458212 0.000595435	67.0638 37.2254 15.9245 4.62254
0.122055	0.000462945 0.000596934	67.0612 37.2239 15.9237 4.62232
0.123094	0.000467668 0.000598404	67.0587 37.2224  15.923  4.6221
0.12408	0.000472381 0.000599847	67.0587 37.2224  15.923  4.6221
0.12506	0.000477085 0.000601262	67.0536 37.2194 15.9215 4.62168
0.126059	0.000481778  0.00060265	67.0512  37.218 15.9208 4.62147
0.127059	0.000486461 0.000604012	67.0487 37.2165 15.9201 4.62126
0.128109	0.000491133 0.000605347	67.0463 37.2151 15.9194 4.62106
0.129068	0.000495794 0.000606656	67.0439 37.2137 15.9187 4.62086
0.130056	0.000500443  0.00060794	67.0416 37.2123 15.9181 4.62067
0.131056	0.000505081 0.000609199	67.0392  37.211 15.9174 4.62047
0.132055	0.000509708 0.000610433	67.0369 37.2096 15.9167 4.62028
0.133055	0.000514783 0.000611762	67.0344 37.2081  15.916 4.62007
0.134055	0.000518925 0.000612828	67.0324  37.207 15.9155 4.61991
0.135055	0.000523973 0.000614105	  67.03 37.2055 15.9148 4.61971
0.136056	0.000528092 0.000615129	 67.028 37.2044 15.9142 4.61955
0.137056	0.000533112 0.000616355	67.0256  37.203 15.9135 4.61935
0.138055	0.000537662 0.000617446	67.0235 37.2017 15.9129 4.61918
0.139056	0.000541745 0.000618409	67.0216 37.2006 15.9124 4.61902
0.140057	 0.00054627 0.000619458	67.0195 37.1994 15.9118 4.61886
