Timestep 	 x_error[2] 	 command torques[4] 	 f contact[2]
0.0671071	0.0341342 0.0494446	 14.9931  2.97016 -10.4033 -1.34498	-0 -0
0.0680581	0.0346342 0.0510506	  14.956  2.95617 -10.4009 -1.33312	-0 -0
0.069062	 0.035102 0.0525318	 14.9043  2.93044 -10.4022 -1.32592	-0 -0
0.0700576	0.0355979 0.0540334	 14.8692  2.91745  -10.398 -1.31397	-0 -0
0.0710929	0.0361092 0.0555551	 14.8327  2.90385 -10.3942 -1.30174	-0 -0
0.0720907	0.0366005 0.0570971	 14.7991   2.8915 -10.3884  -1.2898	-0 -0
0.073056	0.0370944 0.0586592	 14.7656  2.87921 -10.3823 -1.27779	-0 -0
0.0740915	0.0375869 0.0602414	 14.7327  2.86718 -10.3754 -1.26577	-0 -0
0.0750922	 0.038078 0.0618436	 14.7004   2.8554 -10.3679 -1.25374	-0 -0
0.0760907	0.0390449 0.0634658	 14.6394  2.83344 -10.3498 -1.22991	-0 -0
0.0770621	0.0390449 0.0634658	 14.6394  2.83344 -10.3498 -1.22991	-0 -0
0.0780925	0.0395555 0.0662692	14.6056 2.82101 -10.342 -1.2174	-0 -0
0.0790895	0.0400439 0.0682825	  14.632  2.85129 -10.3134 -1.19273	-0 -0
0.0800893	0.0405263 0.0699821	 14.5638  2.81257 -10.3153 -1.18931	-0 -0
0.0810883	0.0410099 0.0718745	 14.5343  2.80193  -10.304 -1.17728	-0 -0
0.0820897	0.0414998 0.0734403	 14.4857  2.77741 -10.2986 -1.16932	-0 -0
0.0830891	0.0419732  0.075199	 14.4774  2.78161 -10.2794 -1.15312	-0 -0
0.0840921	0.0424556 0.0766199	 14.4368  2.75994 -10.2708 -1.14691	-0 -0
0.0850953	0.0433938 0.0789555	 14.3791  2.73962 -10.2425 -1.12163	-0 -0
0.0860928	 0.043378 0.0809574	 14.3791  2.73962 -10.2425 -1.12163	-0 -0
0.087093	 0.043868 0.0827977	 14.3327   2.7161 -10.2341  -1.1134	-0 -0
0.0880907	0.0443459 0.0844704	 14.3072  2.70738 -10.2184 -1.10107	-0 -0
0.0890585	0.0448187 0.0863473	 14.3016  2.71288  -10.196 -1.08459	-0 -0
0.0900925	 0.045289 0.0882434	 14.2776  2.70469 -10.1789 -1.07242	-0 -0
0.0910914	0.0457611 0.0901586	 14.2537  2.69656 -10.1613  -1.0602	-0 -0
0.0920929	0.0462296 0.0920929	 14.2307  2.68878  -10.143 -1.04801	-0 -0
0.0930586	0.0466973 0.0940462	 14.2081   2.6812 -10.1242 -1.03581	-0 -0
0.0941017	0.0471635 0.0960184	 14.1861  2.67386 -10.1047 -1.02361	-0 -0
0.0950806	0.0476362 0.0980095	 14.1638  2.66635 -10.0851 -1.01128	-0 -0
0.0960572	0.0480937  0.100019	  14.1436   2.65977  -10.0641 -0.999185	-0 -0
